collaboration_id,campaign_id,creator_id,content_type,payment_amount
242,79,56,Reel,12342.34
243,79,243,Live,11932.26
244,80,398,Live,9331.54
245,81,321,Post,8726.12
246,82,499,Reel,13759.04
247,83,161,Reel,11761.43
248,83,456,Reel,13794.83
249,83,435,Post,916.35
250,83,356,Live,9430.16
251,84,53,Blog,931.27
252,85,151,Post,6085.08
253,86,386,Blog,9397.72
254,86,211,Post,5820.41
255,86,120,Post,13211.08
256,86,443,Live,1609.04
257,86,307,Blog,14070.01
258,87,233,Live,4990.09
259,88,56,Reel,8968.11
260,88,53,Reel,8934.01
261,89,464,Story,9596.72
262,89,294,Video,5395.33
263,90,372,Story,2151.32
264,90,318,Reel,1001.32
265,90,228,Video,8809.38
266,90,96,Live,14400.15
267,91,160,Live,11654.89
268,91,299,Story,7095.90
269,91,454,Live,5209.21
270,92,497,Live,9899.38
271,92,5,Story,954.03
272,92,266,Live,12305.84
273,93,440,Story,9644.27
274,93,28,Story,11800.43
275,93,217,Video,2921.40
276,93,177,Post,10452.25
277,93,101,Post,9036.46
278,94,437,Video,9279.94
279,94,297,Post,4996.42
280,94,290,Reel,6869.10
281,95,254,Story,13807.31
282,96,355,Post,9396.41
283,96,118,Story,7263.12
284,97,414,Story,6064.66
285,97,379,Reel,5505.98
286,97,193,Reel,5432.51
287,98,59,Blog,8826.73
288,98,73,Video,754.18
289,98,149,Reel,3066.93
290,98,226,Video,2694.78
291,98,100,Video,10810.67
292,99,434,Story,3020.21
293,99,284,Story,12658.93
294,99,126,Reel,412.81
295,100,195,Reel,5141.91
296,100,336,Story,4645.58
297,101,190,Video,9947.54
298,101,415,Live,14658.82
299,102,452,Reel,2252.04
300,102,223,Story,11943.98
301,102,450,Story,8035.07
302,102,365,Blog,5676.40
303,102,34,Live,6500.15
304,103,472,Live,8851.16
305,103,24,Live,4483.32
306,104,168,Reel,9478.94
307,104,127,Video,13105.49
308,105,496,Blog,1312.97
309,105,300,Post,11885.86
310,105,454,Live,1066.61
311,105,251,Live,5882.93
312,105,108,Blog,11291.93
313,106,256,Story,4895.16
314,106,266,Video,7929.59
315,106,238,Post,10763.18
316,107,243,Blog,13825.66
317,107,138,Live,9781.09
318,107,298,Story,3370.94
319,107,206,Story,6835.99
320,108,203,Video,6432.84
321,108,112,Post,8613.42
322,109,131,Story,11299.18
323,109,282,Video,6723.13
324,109,44,Video,3529.65
325,110,239,Live,9354.77
326,111,231,Video,12087.12
327,111,240,Video,4167.99
328,111,222,Reel,2775.53
329,111,210,Story,4057.81
330,112,184,Reel,4488.32
331,113,263,Video,13906.43
332,113,280,Reel,1866.96
333,113,330,Video,670.39
334,113,41,Story,5072.99
335,113,403,Blog,5005.70
336,114,382,Blog,12697.18
337,114,418,Story,10614.08
338,114,394,Story,14976.24
339,115,468,Video,12352.40
340,115,134,Post,14192.64
341,115,5,Live,11391.31
342,115,395,Reel,7132.86
343,115,154,Live,14840.19
344,116,444,Story,3481.20
345,116,204,Blog,3227.14
346,117,265,Live,11388.56
347,117,301,Blog,12234.53
348,118,406,Story,6489.02
349,118,44,Blog,6323.55
350,118,161,Post,6804.58
351,119,16,Story,4653.02
352,119,192,Blog,244.25
353,119,72,Blog,12531.05
354,119,296,Video,3459.81
355,119,448,Post,10317.87
356,120,391,Video,4958.58
357,120,399,Reel,8556.90
358,120,354,Reel,13839.95
359,120,276,Story,14660.93
360,121,291,Live,13714.91
361,121,323,Live,13017.48
362,121,410,Post,3142.65
363,122,33,Post,1718.71
364,122,274,Live,14432.88
365,122,198,Blog,13431.68
366,122,97,Reel,2654.21
367,123,91,Post,499.89
368,123,17,Story,1135.42
369,123,424,Post,4328.88
370,123,353,Story,4437.47
371,123,309,Live,1142.69
372,124,189,Live,264.60
373,125,441,Post,2439.83
374,125,466,Reel,2024.15
375,125,211,Post,7225.94
376,126,200,Story,2035.99
377,127,159,Blog,10005.41
378,127,222,Story,9095.27
379,128,301,Blog,10304.06
380,128,104,Video,3105.37
381,128,258,Story,6741.40
382,129,310,Video,13663.51
383,129,414,Post,6957.05
384,129,127,Live,682.36
385,129,270,Reel,4389.89
386,130,178,Video,5927.25
387,130,359,Story,6284.29
388,130,432,Story,13509.47
389,130,365,Blog,6537.94
390,131,467,Live,1523.46
391,131,338,Blog,14190.74
392,131,94,Story,13294.57
393,131,358,Story,4179.27
394,132,150,Blog,10863.90
395,132,342,Story,13640.17
396,132,470,Post,14886.61
397,132,35,Live,1906.34
398,132,358,Video,1240.35
399,133,259,Video,6210.43
400,134,130,Live,765.06
401,134,107,Reel,1190.61
402,135,196,Story,6010.45
403,135,176,Reel,3834.03
404,135,382,Blog,13765.34
405,135,205,Video,10087.40
406,136,249,Live,9889.64
407,136,237,Blog,14255.27
408,136,35,Story,7114.74
409,136,43,Video,12639.28
410,137,430,Live,1597.68
411,137,10,Video,1949.86
412,138,87,Reel,10193.01
413,138,40,Story,6665.80
414,138,344,Story,3328.42
415,138,391,Reel,13401.05
416,139,111,Blog,12191.53
417,139,227,Blog,9971.85
418,139,357,Blog,13465.45
419,139,25,Post,10386.17
420,139,429,Post,880.99
421,140,25,Post,11530.00
422,141,192,Story,3079.79
423,141,466,Reel,6383.07
424,142,173,Story,10231.40
425,143,113,Reel,11974.17
426,144,371,Reel,6293.63
427,144,86,Reel,12252.80
428,145,288,Live,3186.08
429,145,321,Live,5986.45
430,145,98,Post,1899.98
431,146,55,Video,2686.96
432,146,183,Post,9844.49
433,147,200,Story,6935.76
434,148,337,Video,9784.18
435,149,23,Story,6225.34
436,149,35,Live,7543.68
437,149,454,Reel,10716.71
438,150,88,Video,14723.10
439,150,129,Blog,5889.63
440,150,492,Blog,2080.68
441,150,49,Story,9566.77
442,150,308,Blog,4837.71
443,151,35,Live,6788.78
444,151,172,Live,9644.82
445,151,10,Story,7600.96
446,151,312,Blog,14826.87
447,152,11,Reel,4701.84
448,152,316,Blog,6484.62
449,153,318,Reel,2149.58
450,153,41,Post,4519.56
451,154,193,Blog,664.81
452,154,105,Blog,9011.32
453,155,379,Video,4831.33
454,155,450,Reel,7861.01
455,155,169,Post,9755.89
456,155,69,Video,11283.21
457,156,434,Video,5206.65
458,156,376,Story,8135.75
459,157,411,Blog,10820.58
460,157,352,Live,13103.32
461,158,165,Reel,13061.01
462,158,94,Reel,14309.55
463,158,227,Reel,9552.07
464,158,323,Story,14080.29
465,158,4,Story,1467.21
466,159,282,Story,7660.63
467,159,426,Post,10902.34
468,159,408,Video,2545.97
469,159,478,Story,3749.38
470,159,105,Story,9127.18
471,160,147,Blog,3100.87
472,160,296,Post,1292.24
473,160,230,Video,6033.84
474,161,242,Post,7628.86
475,161,226,Blog,6558.11
476,162,420,Post,395.19
477,162,489,Post,6468.22
478,163,389,Video,8968.23
479,164,284,Story,3933.65
480,164,373,Post,4657.12
481,165,193,Post,1171.90
482,165,288,Story,10751.46
483,165,311,Story,2405.39
484,166,3,Live,10982.49
485,166,7,Video,7422.66
486,167,482,Video,5822.16
487,167,203,Video,9651.63
488,167,497,Live,1161.39
489,167,381,Reel,14887.84
490,168,198,Live,2519.20
491,169,491,Blog,5293.82
492,169,131,Blog,7380.47
493,169,395,Blog,5585.89
494,169,468,Reel,9798.50
495,170,377,Reel,13829.88
496,170,127,Video,9501.20
497,170,125,Blog,521.02
498,170,245,Blog,9715.47
499,171,310,Blog,2295.77
500,171,234,Story,9072.02
501,171,484,Blog,12638.59
502,172,60,Reel,9701.52
503,173,204,Reel,7826.20
504,173,362,Story,13152.49
505,173,301,Story,12463.27
506,173,499,Video,10408.37
507,174,496,Live,4688.89
508,174,273,Post,11311.69
509,174,338,Blog,13054.33
510,174,454,Reel,9579.09
511,174,196,Video,12232.00
512,175,384,Blog,6029.76
513,175,108,Video,195.66
514,175,477,Story,12264.20
515,176,50,Reel,11628.78
516,177,269,Blog,6521.15
517,177,214,Story,5682.31
518,177,336,Blog,2101.55
519,177,148,Post,2811.57
520,178,231,Live,12234.12
521,179,103,Blog,2822.67
522,179,31,Story,3964.34
523,180,226,Reel,13038.59
524,180,321,Story,1289.17
525,180,468,Reel,5728.16
526,180,320,Video,1057.51
527,181,300,Story,7220.67
528,182,5,Reel,4064.60
529,183,341,Live,11859.19
530,184,50,Story,7882.78
531,185,193,Live,7849.10
532,186,478,Video,9105.14
533,186,249,Video,5624.70
534,186,243,Video,14991.73
535,187,482,Blog,6037.22
536,187,185,Live,952.90
537,188,448,Reel,145.96
538,188,170,Blog,6086.94
539,188,413,Story,482.64
540,189,445,Live,4264.07
541,190,189,Live,10324.15
542,190,232,Post,7772.22
543,191,2,Video,347.79
544,191,327,Video,13114.17
545,192,348,Live,7319.59
546,192,228,Blog,9227.63
547,192,120,Reel,5290.18
548,193,338,Reel,11040.74
549,193,439,Video,9146.89
550,193,359,Blog,2233.11
551,193,464,Live,13155.89
552,194,17,Video,12502.08
553,194,66,Live,14809.57
554,194,255,Post,2603.99
555,194,408,Post,14330.26
556,194,45,Post,9973.37
557,195,125,Story,11323.46
558,195,109,Blog,10528.64
559,196,223,Blog,535.40
560,197,463,Video,3383.60
561,197,197,Video,10022.40
562,197,393,Blog,1934.16
563,198,473,Blog,10908.67
564,198,274,Reel,11953.55
565,199,447,Live,11518.43
566,199,115,Live,1063.54
567,199,478,Video,5717.45
568,200,335,Post,12145.87
569,200,329,Story,3960.50
570,200,402,Video,1406.44
571,200,288,Reel,5169.54
572,201,480,Live,5579.28
573,201,97,Video,14315.62
574,201,382,Live,11080.08
575,201,483,Video,1022.09
576,201,60,Live,2928.88
577,202,217,Blog,14015.48
578,202,164,Story,7844.30
579,202,395,Live,8902.56
580,202,187,Reel,5990.15
581,203,437,Video,12574.53
582,203,236,Post,10231.72
583,203,162,Story,9061.83
584,203,75,Story,11231.19
585,203,418,Blog,611.72
586,204,159,Reel,4174.44
587,204,258,Blog,8652.18
588,204,353,Blog,12447.44
589,205,150,Reel,14719.03
590,205,361,Video,2375.26
591,205,495,Blog,3238.13
592,205,193,Blog,14023.05
593,206,359,Reel,13855.05
594,206,377,Story,12866.00
595,207,154,Story,14866.84
596,207,418,Live,5945.06
597,207,338,Post,10200.69
598,207,468,Video,11389.94
599,208,37,Video,10476.01
600,208,271,Story,10546.52
601,208,373,Live,5967.21
602,208,145,Story,4918.94
603,209,444,Blog,4630.70
604,209,413,Blog,2539.05
605,209,28,Story,6684.07
606,209,436,Post,4437.12
607,209,479,Story,3225.52
608,210,377,Reel,5497.16
609,210,334,Live,1619.02
610,211,193,Post,10223.73
611,211,487,Story,13897.18
612,212,183,Post,2776.53
613,213,61,Live,9786.46
614,214,223,Post,3750.51
615,214,497,Reel,3688.75
616,214,77,Post,4610.08
617,214,322,Live,14322.87
618,214,370,Blog,11203.48
619,215,399,Post,12986.95
620,216,141,Video,272.88
621,216,324,Reel,1331.29
622,216,335,Post,9657.00
623,216,228,Live,3451.53
624,217,294,Reel,11935.72
625,217,246,Story,5821.00
626,217,141,Blog,10570.78
627,217,356,Video,8614.20
628,217,382,Reel,4945.91
629,218,95,Post,8385.30
630,218,208,Live,11773.77
631,218,417,Live,7379.59
632,218,359,Live,12573.44
633,218,11,Live,10734.86
634,219,386,Story,14488.65
635,220,93,Live,10458.72
636,221,285,Post,12027.64
637,222,21,Story,8668.71
638,223,45,Video,12786.61
639,223,288,Reel,1360.69
640,224,260,Video,5517.04
641,225,88,Story,4578.94
642,225,217,Live,13578.83
643,225,484,Video,9921.45
644,225,337,Post,2183.84
645,225,1,Post,10457.01
646,226,467,Story,10350.16
647,226,181,Blog,12314.47
648,226,311,Story,647.34
649,226,276,Story,4565.67
650,226,262,Story,14365.60
651,227,283,Story,10963.66
652,227,111,Post,1207.96
653,227,303,Video,3984.05
654,227,184,Blog,13564.53
655,227,143,Post,6895.41
656,228,347,Blog,2234.33
657,228,218,Story,1151.31
658,228,482,Blog,4114.06
659,229,366,Live,9894.04
660,229,191,Live,9113.68
661,230,421,Post,5746.23
662,230,79,Live,3787.72
663,230,162,Video,1956.86
664,230,404,Reel,10291.29
665,231,34,Video,13647.76
666,231,169,Video,2280.31
667,231,328,Story,4177.34
668,231,46,Reel,5719.62
669,232,194,Reel,11762.73
670,232,488,Reel,2718.40
671,233,302,Post,1523.55
672,233,421,Video,10536.79
673,233,414,Video,8317.98
674,234,51,Post,2792.02
675,234,460,Blog,10199.40
676,234,25,Live,8319.91
677,234,88,Post,7205.24
678,234,163,Story,3960.01
679,235,366,Post,8556.66
680,235,80,Video,887.68
681,235,337,Blog,9623.98
682,235,65,Video,10641.79
683,235,74,Story,10205.41
684,236,362,Video,11997.19
685,236,235,Live,4373.61
686,236,94,Post,7856.86
687,236,225,Blog,13232.68
688,237,157,Reel,14217.07
689,237,326,Post,11581.62
690,238,325,Reel,1242.73
691,239,484,Story,8672.22
692,239,48,Reel,11176.80
693,240,476,Post,10187.79
694,240,253,Blog,2132.78
695,240,414,Post,7773.67
696,240,448,Blog,13332.40
697,240,6,Blog,1957.90
698,241,316,Story,13672.21
699,242,366,Post,10568.62
700,243,126,Live,10292.76
701,243,379,Reel,9149.87
702,243,339,Story,10150.38
703,244,463,Story,7753.90
704,244,116,Reel,6398.56
705,244,90,Post,2640.21
706,244,39,Reel,5135.58
707,244,188,Blog,3821.50
708,245,436,Video,7298.56
709,245,393,Video,3274.68
710,245,440,Blog,9504.53
711,245,61,Post,3340.20
712,245,149,Video,13943.72
713,246,423,Live,12740.44
714,246,458,Reel,5400.59
715,246,19,Live,6959.27
716,246,479,Video,5373.00
717,246,238,Reel,5310.85
718,247,206,Reel,1609.93
719,247,182,Post,3043.41
720,248,264,Post,202.97
721,248,461,Blog,3827.01
722,248,79,Post,5990.85
723,248,211,Video,5530.99
724,248,64,Story,8092.77
725,249,56,Post,2511.33
726,249,225,Video,11231.66
727,249,337,Reel,5452.63
728,250,57,Video,699.82
729,250,98,Post,6373.73
730,251,462,Blog,3064.98
731,251,17,Post,14399.51
732,251,83,Video,1870.01
733,252,282,Blog,1998.77
734,252,254,Post,7577.69
735,252,410,Blog,12661.64
736,252,350,Post,2058.12
737,253,406,Reel,1979.24
738,254,257,Blog,3623.92
739,254,7,Blog,12464.55
740,254,393,Post,14648.93
741,255,223,Post,4413.05
742,256,43,Live,2372.19
743,256,390,Live,2884.22
744,256,220,Video,11524.24
745,256,127,Video,14914.43
746,257,342,Post,3056.35
747,257,421,Blog,11762.48
748,258,359,Blog,7584.78
749,259,97,Live,9470.73
750,259,438,Story,3517.82
751,260,206,Video,14856.94
752,260,20,Story,6451.91
753,261,103,Post,7922.07
754,261,47,Blog,9536.32
755,261,443,Story,3404.45
756,261,27,Post,7240.01
757,261,195,Live,6463.39
758,262,156,Reel,4111.77
759,263,483,Post,3779.83
760,263,180,Reel,2808.10
761,263,365,Reel,876.75
762,264,109,Video,13636.38
763,264,147,Reel,6520.52
764,264,242,Video,14230.09
765,265,172,Reel,10067.32
766,265,156,Blog,8321.35
767,265,58,Story,5035.05
768,266,381,Live,9110.24
769,266,399,Story,9788.70
770,266,302,Story,8806.48
771,267,455,Reel,2044.23
772,268,62,Blog,12279.40
773,268,22,Story,10599.43
774,268,301,Reel,1215.71
775,268,496,Live,9323.25
776,268,468,Video,10907.72
777,269,274,Story,752.79
778,269,370,Story,6331.37
779,270,457,Live,14629.38
780,270,450,Video,6782.39
781,270,389,Blog,1849.69
782,271,35,Live,11884.19
783,271,248,Story,9027.39
784,271,215,Blog,14515.56
785,271,269,Video,777.13
786,272,32,Blog,12236.55
787,272,407,Post,10301.94
788,272,498,Live,14575.92
789,272,356,Story,6622.40
790,272,98,Live,5823.84
791,273,206,Story,153.65
792,273,311,Live,3345.34
793,273,140,Blog,232.03
794,273,106,Live,6886.07
795,274,133,Blog,4100.87
796,274,156,Reel,2649.53
797,274,437,Reel,8050.13
798,274,113,Video,682.45
799,274,152,Story,14136.49
800,275,475,Reel,9671.96
801,275,69,Story,14844.09
802,275,139,Story,8065.46
803,276,333,Video,9526.97
804,277,167,Blog,13271.40
805,277,43,Video,10858.99
806,277,485,Post,13485.20
807,278,167,Reel,12376.58
808,278,30,Story,10984.10
809,278,321,Video,2733.36
810,279,276,Blog,14683.56
811,280,55,Blog,3934.44
812,280,370,Blog,9551.15
813,280,382,Live,3171.77
814,280,353,Post,3387.52
815,280,196,Video,3138.39
816,281,80,Blog,6565.16
817,281,229,Story,13542.31
818,281,119,Reel,7489.82
819,281,374,Post,2856.92
820,282,97,Post,14155.99
821,282,292,Story,9748.71
822,283,159,Story,13290.27
823,284,352,Story,1173.53
824,284,312,Story,6879.86
825,284,97,Blog,14558.74
826,284,36,Reel,10892.17
827,285,373,Reel,9089.07
828,285,385,Post,5821.46
829,286,424,Reel,11475.34
830,287,68,Story,11574.75
831,288,74,Live,301.10
832,288,481,Reel,14368.50
833,288,322,Reel,8181.32
834,289,437,Story,2174.53
835,289,363,Live,13396.62
836,289,44,Story,4680.04
837,290,80,Blog,4085.10
838,290,125,Live,1933.83
839,290,29,Reel,1631.95
840,290,279,Video,1628.23
841,291,73,Reel,3477.46
842,291,1,Post,2295.91
843,291,468,Blog,4374.01
844,291,115,Blog,5832.68
845,292,252,Story,14862.44
846,293,53,Video,5423.89
847,293,490,Live,5072.50
848,294,473,Reel,13444.24
849,294,474,Live,2351.43
850,294,471,Post,8004.16
851,295,93,Blog,10338.69
852,295,348,Live,12281.68
853,295,218,Video,13143.49
854,295,77,Video,13751.89
855,295,458,Blog,5599.78
856,296,416,Reel,11853.96
857,296,465,Story,11688.98
858,296,365,Story,4871.81
859,297,229,Post,12238.28
860,297,370,Reel,8709.86
861,297,408,Blog,4249.29
862,297,403,Reel,4913.50
863,298,94,Post,5353.87
864,298,393,Post,6415.10
865,299,309,Story,12051.90
866,299,407,Blog,13831.91
867,299,326,Post,6338.03
868,299,171,Post,8127.33
869,300,273,Post,1345.90
870,300,275,Blog,6385.43
871,300,421,Live,11671.23
872,300,118,Blog,3368.08
873,301,121,Video,142.70
874,302,186,Live,7161.50
875,303,472,Reel,13679.29
876,303,57,Video,12746.40
877,304,151,Story,12545.26
878,304,236,Live,14580.11
879,305,125,Reel,11230.23
880,305,108,Reel,14434.57
881,305,424,Blog,2231.84
882,305,115,Blog,492.57
883,306,191,Blog,8765.95
884,306,28,Post,12577.81
885,306,360,Story,549.77
886,306,55,Video,2205.03
887,307,40,Live,12482.91
888,307,7,Post,2330.79
889,308,241,Story,11246.80
890,308,381,Blog,14236.61
891,309,211,Blog,10459.18
892,309,370,Video,1757.87
893,309,173,Reel,13229.24
894,309,228,Reel,9102.19
895,310,258,Reel,6006.22
896,310,83,Post,10230.56
897,311,284,Live,7577.90
898,311,365,Blog,3486.99
899,311,425,Story,4150.23
900,311,133,Reel,7870.37
901,312,381,Post,9323.75
902,312,109,Story,5945.14
903,313,310,Post,7213.50
904,313,431,Blog,9664.17
905,313,40,Post,2555.88
906,313,419,Video,9735.04
907,313,355,Story,4121.80
908,314,40,Video,9087.53
909,315,15,Story,8169.36
910,315,123,Reel,3257.46
911,315,145,Reel,11372.17
912,316,97,Blog,13945.11
913,316,283,Story,4110.60
914,316,104,Live,8515.47
915,317,405,Reel,14158.29
916,317,248,Reel,14710.07
917,317,24,Video,14385.21
918,317,25,Live,3003.77
919,317,162,Post,10912.75
920,318,360,Reel,5036.64
921,318,346,Blog,7603.32
922,319,414,Post,7206.60
923,319,397,Reel,4422.78
924,319,77,Story,10267.37
925,319,13,Reel,13289.54
926,319,301,Reel,14296.99
927,320,453,Blog,9847.88
928,320,111,Blog,2499.60
929,321,265,Video,6767.46
930,321,374,Story,5151.41
931,321,312,Video,9389.71
932,321,334,Post,696.19
933,321,268,Blog,11635.21
934,322,123,Reel,14374.43
935,322,107,Live,9454.07
936,322,313,Post,1551.35
937,322,311,Reel,2225.08
938,323,281,Reel,7533.79
939,323,445,Post,4774.41
940,323,497,Video,2505.94
941,324,296,Reel,1159.90
942,324,187,Blog,11601.91
943,324,181,Video,14793.54
944,325,391,Blog,13870.00
945,325,449,Reel,14578.04
946,325,227,Post,689.93
947,326,206,Live,13765.39
948,326,210,Story,6668.33
949,326,439,Live,12688.05
950,327,192,Post,7638.54
951,327,43,Video,13173.39
952,327,350,Blog,735.87
953,328,380,Story,10526.20
954,329,5,Post,2457.27
955,329,80,Post,12822.05
956,329,437,Story,5884.52
957,329,54,Post,10070.34
958,329,149,Video,7041.58
959,330,461,Story,11003.49
960,330,419,Post,11546.43
961,330,239,Story,6082.66
962,330,56,Reel,4827.54
963,330,44,Live,7345.80
964,331,59,Live,2420.54
965,331,143,Post,2268.16
966,331,233,Story,4870.78
967,331,20,Reel,14818.38
968,332,32,Post,14680.56
969,332,480,Story,905.75
970,332,414,Reel,14294.41
971,332,186,Blog,6401.51
972,333,326,Story,1131.96
973,333,91,Post,1317.47
974,333,43,Blog,6826.17
975,334,269,Video,2842.77
