company_id,company_name,founding_date
171,"Carlson, Montgomery and Rowe",2005-11-19
172,Kerr-Evans,2009-03-07
173,Carroll-Brown,1986-10-02
174,Garrett LLC,1985-07-10
175,Allen PLC,1985-02-08
176,Smith Group,2011-12-23
177,Johnson-Roberts,1999-03-29
178,"Heath, Jones and Hall",1998-01-01
179,"Lawrence, Lara and Gonzalez",1987-10-23
180,"Walker, Hernandez and Baker",1989-09-05
181,Brown LLC,1999-08-22
182,Martinez-Barker,2007-05-23
183,Mason-Snyder,1985-06-22
184,"Williams, Reynolds and Morris",1997-01-13
185,Davis Ltd,1981-05-30
186,"Underwood, Johnston and Hines",1991-12-03
187,Stone-Ramos,1998-12-05
188,Shea Group,2013-06-17
189,Harrison Group,2002-09-06
190,Santiago-Hodge,2002-06-11
191,Steele-Roberts,2007-04-02
192,"Johnson, Miller and King",1987-11-21
193,Hancock-Bryan,1980-01-29
194,"Booth, Murray and Brown",2004-08-14
195,"Avila, Garrett and Wolf",1993-11-07
196,Dunn-Pennington,2009-10-24
197,"Washington, Johnson and Mccoy",1996-04-13
198,"Moore, Pierce and Tran",1986-05-05
199,Gay Inc,2011-05-27
200,Holland and Sons,2013-11-30
