collaboration_id,platform_id,metric_date,impressions,clicks,likes,shares,comments
10,5,2024-12-23,172076,13044,25450,1817,351
10,5,2024-02-09,117323,17811,36122,3044,201
10,5,2024-04-17,156016,6065,12514,3342,650
10,5,2024-12-13,388924,4497,2224,2042,803
10,2,2024-08-22,153987,6050,17405,3335,856
10,2,2024-12-02,57008,663,19773,1905,2721
10,2,2024-08-20,374949,19037,27272,4137,2844
10,2,2024-12-14,420452,13034,35437,234,138
10,2,2024-10-13,415458,10332,46610,1158,2335
11,3,2024-07-14,395426,19139,3314,1258,2683
11,3,2024-02-16,339522,16017,28744,2348,268
11,3,2024-08-28,138647,6220,2490,2479,856
11,3,2024-06-15,31142,5134,14997,4400,1506
11,3,2024-01-29,86152,5357,36670,4998,1153
11,6,2024-07-19,177887,5986,29419,2763,2994
11,6,2024-03-23,104817,6637,8777,4267,632
11,6,2024-11-17,416369,7710,640,1121,71
11,6,2024-03-12,173614,13198,37622,888,887
11,6,2024-04-18,460727,376,15085,184,903
11,6,2024-04-16,133479,13428,30730,3617,282
12,4,2024-12-09,472832,14067,29933,2996,48
12,4,2024-08-13,449239,14037,9335,3923,2502
12,4,2024-11-10,182623,10378,16356,469,715
13,6,2024-11-24,194588,6951,3703,645,713
13,6,2024-04-29,385702,19111,36476,2121,2002
13,6,2024-03-30,123701,1001,14237,2223,2940
13,6,2024-03-11,24966,4213,35431,2429,1882
13,6,2024-02-08,496763,19105,48618,139,377
14,5,2024-03-24,86172,4388,19210,431,1534
14,5,2024-01-31,230844,13602,17000,4481,1899
14,5,2024-02-24,436548,15656,42116,4061,1320
14,5,2024-05-16,217513,3519,40812,4926,754
14,5,2024-05-19,26738,12708,23607,4441,936
14,5,2024-10-06,457887,14491,10128,3848,2581
14,1,2024-06-22,265679,2150,11818,1279,1302
14,1,2024-11-03,21525,19217,45124,2816,1583
14,1,2024-07-22,398041,17540,18494,2091,2082
14,1,2024-03-19,497081,8156,31845,2045,2574
15,2,2024-08-19,301128,2550,12239,821,537
15,2,2024-02-14,45563,1594,7843,4354,1880
15,2,2024-09-21,22501,7773,45701,2844,2824
15,2,2024-10-13,218566,1688,43913,610,1866
16,2,2024-09-05,153250,1231,41270,1852,2455
16,2,2024-03-19,185322,3443,38549,2067,2849
16,2,2024-07-02,93929,19651,20892,901,2028
17,2,2024-03-29,92514,4706,32288,3181,1047
17,2,2024-05-08,116006,18320,29809,1494,674
17,2,2024-01-13,189619,9528,9837,1187,467
18,1,2024-03-31,198095,10552,44928,2140,2426
18,1,2024-11-27,201040,6353,12829,17,2840
18,1,2024-10-05,428557,6456,13291,2379,1210
18,1,2024-06-06,232664,656,20000,4119,2129
18,1,2024-09-16,267139,19685,38048,2713,53
18,1,2024-05-23,244097,731,10922,89,1537
18,2,2024-12-15,198430,16679,44879,2866,297
18,2,2024-11-10,402151,10313,12446,3676,2040
18,2,2024-05-13,327610,6002,26064,3504,2604
18,2,2024-12-05,110182,5291,39203,2598,1701
18,2,2024-05-03,141013,6111,29675,4084,1947
18,2,2024-06-17,417199,5636,10516,2943,2328
18,2,2024-03-25,9694,13758,5309,3276,1435
19,1,2024-02-12,74823,19861,8800,232,2684
19,1,2024-07-08,300762,5216,9919,4858,1175
19,1,2024-03-02,37900,10620,26933,1793,177
19,1,2024-03-21,310570,10461,20726,4769,1652
19,1,2024-05-03,229032,8057,30391,1267,2650
19,1,2024-08-02,90866,9770,43551,1478,180
19,1,2024-08-14,198147,2540,21999,2128,2558
20,1,2024-01-14,339351,18112,22288,800,801
20,1,2024-04-15,380006,3555,14646,4414,170
20,1,2024-01-25,143426,18855,35054,1843,2890
20,1,2024-03-24,34176,2792,11615,1248,391
20,1,2024-04-02,410551,2549,24416,2430,2099
20,1,2024-12-10,478491,3741,46641,3056,2209
20,1,2024-03-25,456489,14318,35644,3422,2199
21,6,2024-07-24,156713,326,6844,4779,454
21,6,2024-09-29,171793,8639,36485,4406,244
21,6,2024-07-20,162664,10063,49187,1099,2764
21,6,2024-01-04,22824,12772,11673,4674,2063
21,6,2024-09-15,232363,17234,31516,2008,1289
21,6,2024-09-28,172095,12754,41829,3295,1159
22,5,2024-06-08,406860,3941,39075,3571,2971
22,5,2024-03-08,114643,9755,43185,1481,462
22,5,2024-11-10,74377,14340,9521,1471,312
22,5,2024-04-11,96456,610,20060,528,191
22,5,2024-05-29,86008,8338,34888,1782,466
22,1,2024-02-16,247470,14681,10084,3333,2413
22,1,2024-11-09,311959,9149,37737,4320,400
22,1,2024-12-01,84849,16882,45794,1636,459
23,5,2024-01-11,30391,7237,28340,3464,1683
23,5,2024-01-12,387162,5558,46313,22,260
23,5,2024-01-05,182865,6495,49050,1326,2213
23,5,2024-06-24,101892,17874,25984,1549,399
23,5,2024-01-06,169197,1570,21436,1475,1111
23,5,2024-05-10,465174,17399,15427,4509,2912
23,5,2024-01-07,490875,11691,36281,1330,1716
24,6,2024-03-28,346522,18549,40102,516,249
24,6,2024-08-19,209223,17547,45741,3545,676
24,6,2024-08-24,397011,14341,16025,1865,731
24,6,2024-10-14,466872,6826,32902,4997,1583
24,6,2024-12-14,414479,6729,14086,3967,1674
24,6,2024-02-17,265610,11067,41645,939,2590
24,6,2024-10-10,479201,13238,11632,3262,1868
24,3,2024-05-06,228069,18142,19999,895,8
24,3,2024-02-09,100047,5130,43534,4148,647
24,3,2024-04-14,472395,7442,47012,4992,629
25,5,2024-12-10,283911,16699,47942,1838,1435
25,5,2024-04-06,242242,19713,47761,523,2169
25,5,2024-09-03,171085,698,26641,3955,2024
26,1,2024-02-18,341624,1473,27718,3037,2388
26,1,2024-03-27,3789,17686,34282,827,2684
26,1,2024-05-18,130189,2509,40738,1048,1918
26,1,2024-11-09,233595,13476,7683,3778,2065
26,1,2024-12-25,58522,11595,38920,3437,2378
26,1,2024-10-05,337749,8142,35486,2453,1438
27,2,2024-04-01,385549,595,46966,1239,2878
27,2,2024-07-20,198088,12129,45638,3275,2191
27,2,2024-07-17,400908,5647,40114,2904,2359
27,2,2024-02-21,73043,10656,29404,1677,1266
27,2,2024-11-15,266434,19487,37090,1336,1411
27,2,2024-06-20,117686,19787,17910,3569,2578
28,2,2024-08-15,387515,9810,8975,4750,2494
28,2,2024-01-13,233835,8835,41147,3897,589
28,2,2024-11-14,216509,13912,38713,2499,262
29,6,2024-10-20,324895,13037,31777,181,2308
29,6,2024-01-03,290560,19556,29998,2519,2814
29,6,2024-12-16,261611,8402,36674,2888,2813
29,6,2024-11-15,446463,18759,18657,3327,1134
29,6,2024-02-12,267393,6391,39893,4134,1243
29,6,2024-03-03,215957,15190,15924,2372,1882
30,1,2024-11-18,180520,6808,26157,4768,2202
30,1,2024-10-01,56503,12528,19229,4791,2191
30,1,2024-01-17,139552,9553,20741,85,2482
30,1,2024-03-29,348040,16917,25883,86,1343
30,1,2024-04-01,62506,1078,10779,3269,576
30,1,2024-08-27,20991,13049,26258,2379,2269
30,1,2024-11-10,473267,2055,1214,4464,738
31,6,2024-09-30,437527,8329,23529,4265,432
31,6,2024-04-24,785,18278,35394,4700,2280
31,6,2024-04-09,459217,1398,21649,3957,1254
31,6,2024-12-10,427691,17772,36144,1946,2539
31,6,2024-11-04,386844,15573,17194,873,2271
31,2,2024-07-31,454267,7801,984,1228,1836
31,2,2024-07-09,480327,466,3126,10,876
31,2,2024-01-26,356836,11352,47229,3202,2785
31,2,2024-07-28,53884,19454,39118,2920,2647
31,2,2024-04-18,9563,11762,25418,2403,402
32,1,2024-05-13,402762,18574,12585,3595,2222
32,1,2024-12-07,443350,9690,28341,3681,2337
32,1,2024-01-29,264035,15773,47282,164,2682
32,1,2024-03-04,278802,15519,10646,3400,2637
32,1,2024-01-22,16873,3752,41384,1676,1756
32,1,2024-07-14,466359,4076,3149,1896,1116
32,1,2024-06-06,159367,8309,8649,4932,2443
33,4,2024-07-20,254228,9036,43628,2814,1733
33,4,2024-10-14,473610,13185,24555,1355,1237
33,4,2024-01-22,198591,4695,8290,962,1330
34,6,2024-11-08,313686,14343,31335,1126,1296
34,6,2024-08-06,403215,5891,12104,1486,516
34,6,2024-11-09,4649,10921,15490,1770,2606
34,6,2024-11-30,346481,9713,28838,245,1064
34,6,2024-09-16,161615,15791,25510,2491,2221
34,5,2024-12-16,412311,10721,24433,4897,917
34,5,2024-11-04,229652,10740,11218,794,954
34,5,2024-10-02,118582,10291,430,4011,340
34,5,2024-03-14,151216,10962,47783,2853,898
34,5,2024-02-26,87649,19577,3723,32,1025
35,4,2024-03-06,345697,6106,6020,561,2942
35,4,2024-08-30,124666,4741,41534,3800,2031
35,4,2024-03-23,223636,8920,35161,4474,1014
35,4,2024-11-15,182168,18258,21066,2636,2274
35,4,2024-06-19,90137,5979,38332,2505,702
35,4,2024-12-19,441792,11396,9201,2566,420
36,6,2024-02-29,263879,10787,32093,3021,2523
36,6,2024-02-14,235709,2231,3617,2757,218
36,6,2024-09-29,447025,1595,23837,2532,2459
36,6,2024-02-20,135937,14737,29790,2522,1107
36,6,2024-09-02,121254,12047,41883,1764,1465
36,6,2024-03-18,156508,14414,34693,2428,464
37,5,2024-03-01,187359,19074,19709,4683,1886
37,5,2024-04-13,136792,9532,39550,1669,155
37,5,2024-06-21,121803,16051,33489,4382,129
37,5,2024-04-26,102859,4139,34754,1788,1730
37,5,2024-02-16,458647,2299,45143,1651,986
37,5,2024-11-30,273740,19739,11971,3503,158
37,2,2024-08-30,265804,17579,11504,4566,284
37,2,2024-06-30,416996,5754,31481,4455,1951
37,2,2024-04-12,5555,9396,36392,3566,758
37,2,2024-06-13,359255,2101,20572,1492,505
37,2,2024-08-19,363050,10068,26807,2681,2712
37,2,2024-04-23,486295,10779,47801,1859,1981
37,2,2024-09-25,26715,3376,33576,4629,444
38,3,2024-08-05,359930,15725,12350,2401,1148
38,3,2024-07-15,260842,2921,48213,3930,1818
38,3,2024-07-14,489930,5377,38859,3261,2416
38,3,2024-02-06,163234,7405,13786,3249,564
38,3,2024-10-31,317485,18910,16869,3085,2581
38,5,2024-05-14,475523,11238,3481,4998,2411
38,5,2024-10-22,307647,1000,45216,307,464
38,5,2024-01-27,279560,19565,36343,2792,1969
38,5,2024-04-29,303244,605,34848,1921,2805
38,5,2025-01-01,178957,5414,6269,701,2218
38,5,2024-11-05,215247,17157,19068,2360,702
39,4,2024-07-18,145693,16912,33892,2442,2541
39,4,2024-12-10,322974,15051,38226,3041,1799
39,4,2024-03-30,294646,12204,32160,2696,2606
39,4,2025-01-01,299876,11470,49459,4264,522
39,4,2024-09-26,389467,3692,38849,425,738
40,5,2024-02-06,231767,19180,30357,4418,2500
40,5,2024-12-05,470888,2474,9051,2456,2171
40,5,2024-10-05,98820,19987,29642,676,1897
40,5,2024-01-11,486111,10803,49222,4761,2172
41,1,2024-05-14,485697,10821,6510,2183,849
41,1,2024-08-06,260724,5288,34310,3209,2148
41,1,2024-02-25,44015,6021,47616,1787,2619
41,1,2024-01-19,110558,17356,32980,2804,1784
41,1,2024-10-05,60309,2734,37917,2018,2502
42,2,2024-10-02,42331,9064,22086,4727,51
42,2,2024-01-13,387366,18821,41335,1372,436
42,2,2024-08-17,245872,18960,3109,3039,1297
42,2,2024-03-19,294244,13983,27749,4798,855
42,2,2024-04-27,432048,12294,5890,2569,2071
42,2,2024-10-07,394165,727,49479,3811,53
43,2,2024-04-09,66841,12979,1339,1000,504
43,2,2024-10-22,126922,19202,5261,90,1023
43,2,2024-10-01,66376,18842,31114,2523,555
43,2,2024-11-29,454606,10376,22938,998,1001
43,2,2024-08-10,22657,18857,3901,4355,1348
43,5,2024-02-21,449073,16508,47031,1012,179
43,5,2024-05-26,172330,2048,8918,2457,874
43,5,2025-01-02,242216,6819,26274,575,1410
43,5,2024-12-25,417348,17447,32548,1689,1557
43,5,2024-07-28,73827,14463,5198,1782,2832
43,5,2024-07-02,267707,19697,26306,4660,1009
43,5,2024-04-23,185694,7979,40575,499,2889
44,6,2024-11-16,175540,17893,21116,3529,375
44,6,2024-07-07,332305,9614,29544,2022,357
44,6,2024-12-01,175775,12693,24643,1966,2400
45,6,2024-10-17,97984,11750,22752,952,419
45,6,2024-07-14,152636,8114,25778,353,2708
45,6,2024-03-11,440020,16698,15757,3867,1996
45,6,2024-04-06,240065,973,10411,4467,2440
45,6,2024-08-07,401952,12443,26890,43,1410
45,6,2024-05-12,155157,5852,34189,678,1552
46,2,2024-05-11,36512,13557,5046,291,434
46,2,2024-11-16,365702,15183,21219,1682,1376
46,2,2024-10-03,457780,9867,26873,2180,180
46,2,2024-07-13,65742,1277,12410,4594,2244
46,2,2024-01-05,71472,16119,14054,72,1086
47,3,2024-09-06,220542,6883,27700,1105,2090
47,3,2024-02-23,138543,8542,44360,2221,1861
47,3,2024-03-02,277779,19023,15097,4854,1303
47,3,2024-04-21,486286,758,37735,3378,2360
48,2,2024-08-02,260178,13227,17077,4976,2571
48,2,2024-12-21,482774,167,37363,1427,714
48,2,2024-09-17,281823,9166,40247,4175,1865
49,6,2024-06-12,396022,11538,7362,1947,1351
49,6,2024-10-03,392990,14916,8928,4026,509
49,6,2024-08-22,139898,6490,1424,3485,2269
49,6,2024-10-16,63319,3512,49677,3148,1114
49,6,2024-01-22,106980,10046,13678,4843,2068
49,5,2024-02-03,266448,16218,13500,4497,1929
49,5,2024-08-15,342283,11818,33582,1827,963
49,5,2024-04-21,212680,9354,49901,3895,1846
49,5,2024-01-11,435344,8277,6209,1910,2943
49,5,2024-01-09,317716,458,40838,928,1434
49,5,2024-04-13,269276,13784,1549,1531,2237
49,5,2024-03-12,208064,4416,22881,2171,688
50,5,2024-05-14,36057,5633,15276,701,2508
50,5,2024-01-19,380169,11718,29534,3788,553
50,5,2024-01-06,141287,9208,4374,166,236
50,4,2024-12-19,310650,8966,6564,4633,886
50,4,2024-03-23,142436,12214,15771,4517,2639
50,4,2024-02-10,31693,15867,46861,2540,409
50,4,2024-11-23,484730,4783,9480,2274,2233
50,4,2024-08-30,15264,19297,47883,4576,1949
51,2,2024-04-03,93538,12278,5150,4068,1227
51,2,2024-03-15,97767,9540,946,2176,2847
51,2,2024-11-28,353581,7061,11327,3439,413
51,2,2024-02-28,280244,1741,2352,1581,1256
51,4,2024-09-26,226793,3301,45088,3130,886
51,4,2024-01-27,249479,443,9815,4479,1640
51,4,2024-08-19,364596,5615,3705,1245,148
51,4,2024-01-20,312219,11034,15525,3207,1701
51,4,2024-03-14,37241,18768,23648,1615,1681
51,4,2024-10-10,306365,1071,683,2781,1909
52,3,2024-11-05,164596,1033,3957,789,2032
52,3,2024-05-05,72097,10979,36932,105,111
52,3,2024-08-26,113844,15171,5893,1557,146
52,3,2024-12-04,237200,5675,10531,771,452
52,3,2024-04-18,283896,12523,37147,342,2091
52,3,2024-09-03,464284,2526,42961,3198,2035
52,2,2024-04-05,63388,867,16668,2595,2912
52,2,2024-05-24,390298,13403,7361,4068,459
52,2,2024-10-20,88152,17979,4512,3887,30
52,2,2024-08-23,135155,10089,16078,3339,225
53,6,2024-04-25,398736,9930,19240,1084,757
53,6,2024-07-04,76115,3092,42493,3259,68
53,6,2024-03-16,179974,5983,14098,4819,1110
53,6,2024-02-15,74904,607,38259,2229,1254
54,3,2024-08-30,463604,5957,24660,190,857
54,3,2024-12-12,96251,13834,42074,2897,1298
54,3,2024-02-20,118280,4327,30853,3355,328
54,3,2024-12-02,244618,19798,19697,4569,103
54,3,2024-12-16,70721,8908,22636,2946,2398
54,3,2024-10-08,184396,3718,25082,308,543
54,2,2024-02-24,301951,3668,20979,4404,2386
54,2,2024-02-17,90011,14135,35451,3319,2884
54,2,2024-05-28,384544,19928,35148,3393,1050
55,1,2024-10-11,224874,16882,44231,3456,524
55,1,2024-04-20,243564,12481,3882,84,2053
55,1,2024-09-28,141656,10272,29926,2125,101
55,1,2024-09-21,393297,7610,28755,4571,367
55,1,2024-10-20,57928,18789,2161,4024,1199
55,1,2024-11-18,444242,18637,8590,707,1795
56,4,2024-01-23,26898,13277,37469,4339,830
56,4,2024-07-21,319230,4239,12965,2675,948
56,4,2024-05-24,283789,8865,33444,3585,1112
56,4,2024-08-20,495715,1330,33071,1297,485
56,4,2024-04-28,301485,17344,26914,2614,1128
57,6,2024-04-05,78112,368,11051,545,686
57,6,2024-04-13,390297,16160,45008,1220,64
57,6,2024-07-04,473755,10825,127,1710,897
57,6,2024-01-05,32460,725,1221,4498,2130
57,6,2024-07-15,130873,9608,48774,3308,1862
57,6,2024-05-07,311792,3694,40150,44,18
57,1,2024-09-23,300254,18666,5927,998,1037
57,1,2024-03-02,213462,136,1546,4753,383
57,1,2024-07-17,298147,5039,15437,1142,2812
57,1,2024-09-13,106165,15016,48668,4772,2762
57,1,2024-10-03,495989,18962,47658,3771,2939
57,1,2024-11-17,23951,12770,613,4443,1384
57,1,2024-06-08,285359,2743,35918,3488,1971
58,1,2024-07-17,128921,1381,3350,193,2449
58,1,2024-10-29,270534,9137,44876,1800,1025
58,1,2024-08-12,62754,3221,47413,2006,1830
58,1,2024-02-15,487861,3199,34330,702,1308
58,1,2024-02-21,347658,19846,36421,3030,2848
58,4,2024-06-17,263298,4687,49786,4701,1270
58,4,2024-03-18,10026,6246,41705,2133,2727
58,4,2024-01-09,36368,11945,13363,2658,984
58,4,2024-05-25,216964,13521,1994,3662,1322
58,4,2024-07-15,495139,18883,39824,4897,1030
59,6,2024-10-24,467415,9006,26534,3543,1813
59,6,2024-03-17,375949,1808,6288,484,2259
59,6,2024-03-13,140483,575,9157,4421,380
59,6,2024-12-21,266311,5037,9059,1827,2107
59,6,2024-08-20,313218,9519,103,1227,1606
60,3,2024-01-18,278833,11409,32850,578,2040
60,3,2024-05-15,361643,10691,8939,3835,936
60,3,2024-07-04,334562,6362,27003,2557,659
60,3,2024-04-26,181086,14940,1170,73,1211
61,6,2024-03-22,325430,3153,36731,1147,2264
61,6,2024-12-26,174571,3562,36006,956,2817
61,6,2024-08-04,492422,2325,41209,1452,2591
61,5,2024-06-26,296440,636,18829,3261,473
61,5,2024-01-18,32393,15275,39457,1421,902
61,5,2024-01-31,139175,14024,26794,197,225
61,5,2024-02-16,67497,18451,15909,4284,592
61,5,2024-08-26,45937,1020,5910,1444,826
62,5,2024-10-17,385855,14049,4528,2879,371
62,5,2024-03-06,15895,8716,34918,3070,52
62,5,2024-09-13,386076,14120,28552,2668,924
62,5,2024-05-15,164107,12561,47570,381,1256
63,6,2024-03-14,231085,13778,14366,2461,1573
63,6,2024-01-14,56636,2937,21846,1943,33
63,6,2024-07-08,262235,6766,47995,2537,2019
63,6,2024-03-20,136538,7746,22949,4578,1732
63,3,2024-09-08,215370,17572,11110,1341,1306
63,3,2024-02-22,393429,4185,30101,1506,1619
63,3,2024-08-21,2488,16741,25719,3431,2886
64,3,2024-06-28,489074,13163,10033,1070,1135
64,3,2024-02-10,486304,14531,26819,4476,1815
64,3,2024-09-20,449426,8883,40894,2408,1943
64,3,2024-08-30,435590,2688,43440,1312,2373
64,3,2024-02-04,335578,6855,23728,128,154
64,3,2024-08-04,489476,3616,33470,2489,2055
64,4,2024-09-04,158487,4820,8258,1932,1287
64,4,2024-05-20,426061,6914,20188,444,1263
64,4,2024-08-04,461194,12449,35923,1253,457
64,4,2024-03-21,46050,11069,41789,3550,1040
64,4,2024-11-09,387558,11724,10753,2928,1056
64,4,2024-10-26,412409,5688,1156,3279,2708
64,4,2024-12-25,145419,9325,42157,725,511
65,4,2024-12-09,372879,16206,12846,4483,2259
65,4,2024-02-12,278999,4858,30412,2045,15
65,4,2024-12-10,225437,7701,20131,1851,1386
65,3,2024-05-27,262876,16522,11745,535,2168
65,3,2024-09-22,145847,19274,27540,4402,100
65,3,2024-07-28,212916,8558,1228,2850,407
65,3,2024-02-24,23433,6005,6000,1323,1524
65,3,2024-06-12,103298,9191,5421,1532,1017
65,3,2024-01-21,62609,13204,3369,2552,2508
65,3,2024-10-03,222737,187,15740,4073,587
66,3,2024-12-31,383220,16605,25264,438,244
66,3,2024-04-14,86040,2097,45830,1656,435
66,3,2024-11-02,234710,18097,38842,4956,207
66,5,2024-02-15,423908,9094,2155,113,864
66,5,2024-06-02,482312,15609,7683,1976,443
66,5,2024-12-21,260747,3290,38676,3827,2676
67,2,2024-07-31,24400,3489,41340,3183,642
67,2,2024-07-01,358978,1718,47331,4161,1063
67,2,2024-02-22,305548,9385,41719,3827,2150
67,2,2024-06-20,455233,11999,647,991,320
67,2,2024-04-19,229901,11214,14674,2771,2176
67,2,2024-03-30,370735,3961,1513,3876,686
67,2,2024-10-18,277578,14587,34278,33,1936
68,1,2024-08-27,314414,1892,46892,1862,1921
68,1,2024-02-28,496210,13665,6962,3500,117
68,1,2024-10-11,362394,16826,7308,3855,638
68,1,2024-03-10,469086,6695,44387,4885,2413
69,4,2024-05-08,252746,16119,7934,4391,815
69,4,2024-09-06,178153,7478,2672,3670,1722
69,4,2024-10-15,453113,3524,487,1496,1179
69,4,2024-10-10,8324,18040,24038,2887,1911
69,4,2024-09-17,17003,532,11152,2109,2745
69,4,2024-06-04,102292,4472,14007,3242,767
69,6,2024-03-03,205340,19221,2523,3154,2472
69,6,2024-12-09,400751,12581,36172,2891,1872
69,6,2024-05-14,209381,15521,1335,3191,1817
69,6,2024-12-18,358399,11732,4374,3584,2543
70,3,2024-05-05,303572,11999,45707,1168,371
70,3,2024-06-14,29293,3832,26675,2447,599
70,3,2024-07-19,38615,194,31509,84,896
70,4,2024-07-05,24837,17177,16940,1287,1160
70,4,2024-04-19,368978,3736,40662,4413,914
70,4,2024-10-24,72303,9505,35539,2403,2066
70,4,2024-02-06,116048,822,699,2474,443
71,4,2024-11-03,424842,2494,1043,2596,941
71,4,2024-01-25,77759,3357,24166,588,1549
71,4,2024-09-02,377827,12001,46842,4511,1594
71,4,2024-12-26,152963,13297,46751,2012,951
71,4,2024-12-11,455443,10863,15278,2543,2257
71,4,2024-02-21,49506,152,21385,144,490
71,6,2024-09-12,221021,8555,10218,4023,2075
71,6,2024-10-27,413239,13959,8043,2626,1940
71,6,2024-05-08,289807,11091,21063,915,565
71,6,2024-10-09,404426,2552,29458,4041,1354
71,6,2024-02-24,70747,7724,38845,3053,2310
72,2,2024-09-16,52122,11235,23772,2131,638
72,2,2024-07-12,448284,1544,49996,4908,1896
72,2,2024-03-25,119556,12611,1266,1262,1215
72,2,2024-06-01,228634,12167,18392,3468,1899
72,2,2024-08-31,74606,1251,23498,534,1813
72,2,2024-02-27,14821,15145,13371,505,2053
73,4,2024-03-03,190110,12641,17303,3942,2182
73,4,2024-11-25,395099,7582,31562,506,891
73,4,2024-02-22,255658,10471,20142,1874,2176
73,4,2024-01-12,407513,6135,29016,2433,303
73,4,2024-06-07,264350,10677,46277,3765,2756
73,4,2024-04-07,201471,1682,10646,4614,712
73,1,2024-05-12,404504,12974,44938,4331,1654
73,1,2024-03-17,468952,14824,12215,4551,2119
73,1,2024-06-04,24456,14752,27333,3516,1031
73,1,2024-03-13,5892,14642,42805,3095,2803
73,1,2024-04-19,75901,15720,4460,1696,1390
74,3,2024-10-07,483288,13186,31217,3425,2837
74,3,2024-03-12,188265,19833,8246,1789,2171
74,3,2024-08-10,379054,16563,31171,4980,218
74,3,2024-07-30,470220,1039,17282,4240,2148
75,6,2024-10-29,356713,7709,11588,476,2847
75,6,2024-06-21,409534,12191,15451,2132,29
75,6,2024-06-28,413747,882,45073,4304,2478
75,6,2024-03-18,249151,6604,37890,3430,348
75,6,2024-06-20,313070,14775,28149,2113,41
75,6,2024-06-14,101085,10590,26997,3693,241
75,2,2024-09-13,312649,15233,32785,2782,1415
75,2,2024-05-11,83749,14347,5074,4811,2890
75,2,2024-01-17,126979,17317,17047,1210,746
75,2,2024-09-04,110630,13237,49154,1071,1870
75,2,2024-04-19,95009,2004,46309,1447,723
75,2,2024-11-30,77688,15848,6799,876,312
76,3,2024-07-08,341941,16109,27943,4975,499
76,3,2024-09-09,56393,13908,10802,473,1211
76,3,2024-03-23,323874,17849,24406,939,1188
