creator_id,creator_name,niche,follower_count,post_count
148,Emily Reed,Fashion,1399832,1064
149,Regina Ramos,Fashion,325107,2833
150,David Torres,Lifestyle,145788,393
151,Robert Charles,Fitness,200517,1788
152,John Smith,Fitness,1566516,1546
153,Theresa Woods,Gaming,1171794,265
154,Jeffrey Carter,Fashion,1410119,520
155,Adam Brooks,Tech,746548,2745
156,Justin Foster,Tech,1825521,2973
157,Omar Price,Beauty,608202,2479
158,Dennis Henderson,Travel,742455,444
159,Phillip Kent,Food,329492,2709
160,Melinda Mitchell,Lifestyle,475275,463
161,Rhonda Gutierrez,Fashion,1777876,2298
162,Catherine Roberts,Fashion,245931,1161
163,Lisa Nelson,Food,1697865,1777
164,Chelsea Smith,Beauty,1282154,2714
165,Joseph Lopez,Travel,65719,758
166,Derrick Espinoza,Travel,1478666,1285
167,Crystal Hernandez,Fashion,741149,45
168,Glenn Collins DDS,Gaming,1829234,606
169,Mrs. Raven Rivera DVM,Tech,150931,601
170,Amy Rowe,Beauty,197429,2192
171,John Lee,Food,793936,1739
172,Ruth Clayton,Lifestyle,719910,664
173,Randy Wright,Fashion,658550,2975
174,Jessica Rojas,Fashion,1634142,2344
175,Joel Wise,Fitness,1857502,235
176,Vickie Kennedy,Gaming,335112,2550
177,Emily Morris,Beauty,1418414,354
178,Amanda Pineda,Travel,934275,2731
179,Dawn Little,Tech,1023506,2506
180,Stephen Boyer,Lifestyle,873606,1138
181,Brian Chen,Food,1588230,2118
182,Christopher Hill,Fitness,728879,1780
183,Richard Smith,Fitness,599010,2797
184,Richard Alvarez,Lifestyle,1110060,2752
185,Jacqueline Davis,Travel,100247,923
186,Brandon Montgomery,Tech,1261875,244
187,Yolanda Garrett,Beauty,433706,1254
188,Matthew Miles,Food,1614248,582
189,Beth Hall,Travel,612014,1363
190,Dr. Nicole Trujillo,Fitness,21210,2057
191,Corey Norris,Tech,373458,549
192,Chad Roach,Tech,1121906,2902
193,Mr. Edward Terry,Food,1054126,2308
194,Cody Bailey,Fashion,156153,1646
195,Denise Guerra,Beauty,919818,96
196,Kristen Jones,Lifestyle,1936817,338
197,Edward Baker,Fashion,1212454,1778
198,Aaron Little,Tech,1492927,2642
199,Cody Smith,Tech,612157,491
200,Patty Allen,Tech,48739,1350
201,Mary Ryan,Gaming,1685494,2551
202,Joseph Jimenez,Lifestyle,1749884,2844
203,Lisa Morris,Fashion,189821,1808
204,Ashley Mills,Fitness,515271,1804
205,Russell Anderson,Tech,1103829,342
206,Christina Washington,Tech,1830622,1290
207,Kenneth Huff,Fashion,469670,1384
208,Kelly Miles,Gaming,165179,2110
209,Jacob Obrien,Fitness,1117758,2108
210,Timothy Clark,Food,1904857,1451
211,Steve Miller PhD,Fashion,1530424,2663
212,Justin Hurley,Gaming,500491,441
213,Jacob Erickson,Gaming,541804,828
214,Deborah Williams,Gaming,1268322,646
215,Eric Blackburn,Fitness,376502,2592
216,Anne Hardy,Lifestyle,977980,2329
217,Chelsey Fox,Lifestyle,1433440,2332
218,Mario White,Fashion,1817457,2589
219,Jennifer Garcia,Fashion,321580,1821
220,Heather Ellis,Fitness,988398,1831
221,Sonya Jackson,Travel,1675024,1145
222,James Morgan,Beauty,743076,2098
223,Zachary Ramos,Fitness,655972,1911
224,Ethan Frey,Lifestyle,83868,253
225,Jacob Duran,Fashion,1749194,1195
226,Nicholas Franklin,Fitness,1356963,389
227,Cindy Cannon,Tech,975376,2397
228,Dawn Nixon,Beauty,948159,2361
229,James Barber,Food,679290,2498
230,Ms. Kelly Holder,Lifestyle,1056443,637
231,Eric Walker,Beauty,949815,443
232,Alison Short,Fashion,1503028,365
233,Desiree Spencer,Gaming,87086,1034
234,Tammy Moore,Lifestyle,926534,2166
235,Henry Taylor,Gaming,768149,1547
236,Kevin Hall,Travel,817471,1694
237,Anna Ross,Fashion,1428751,2468
238,Morgan Cummings,Beauty,1660128,2604
239,Carrie Petersen,Fashion,143227,1370
240,Laura Velez,Fitness,1175133,2798
241,Elizabeth Cross,Tech,600899,1052
242,Angela Brown,Gaming,704110,353
243,Hannah Montoya,Gaming,1927556,1452
244,Sean Kane,Travel,1380846,2880
245,Matthew Guzman,Tech,275431,2457
246,Richard Reyes,Fitness,654240,2309
247,Andrew Fernandez,Tech,1354503,1365
248,Jonathan Walker,Gaming,1410335,2898
249,Nicholas Long,Fitness,1359812,2766
250,Kurt Wagner,Tech,1071377,1502
251,Dylan Foster,Beauty,765422,1285
252,Bradley Duncan,Gaming,1999746,897
253,James Miller,Fashion,1992404,2011
254,Patricia Anderson,Food,480095,583
255,Justin Freeman,Gaming,166826,1231
256,Christina Gilbert,Fitness,1069702,2230
257,Danielle Jones,Beauty,1393166,1399
258,Erica Glass,Gaming,1257516,1563
259,Michael Henderson,Gaming,345257,760
260,Frank Wheeler,Gaming,1517430,1812
261,Eric Huerta,Beauty,866632,1512
262,Wanda Ramos,Food,936552,2520
263,Andrew Meyers,Travel,1582878,1858
264,James Todd,Food,1124902,999
265,Ashley Brown,Travel,1700807,1941
266,Tammy Melton,Food,776418,2798
267,Alexis Benson,Lifestyle,973213,1174
268,Jerry Johnson,Tech,1059671,2180
269,Joshua Harris,Tech,344860,837
270,Deanna Webb,Gaming,1835817,1044
271,Brenda Hale,Beauty,1349649,1988
272,Kevin Alvarado,Fashion,1167956,440
273,Christopher Campbell,Fitness,602820,363
274,Lisa Brown,Gaming,577084,1860
275,Alejandra Price,Gaming,1747831,1811
276,Samuel Keller,Fitness,1989772,929
277,Alicia Dillon,Lifestyle,1860203,1451
278,Crystal James,Beauty,875101,238
279,Ariana Stewart,Tech,1057785,1551
280,Kim Lopez,Food,814849,354
281,Judith House,Fashion,475891,135
282,David Moreno,Fashion,1957083,425
283,James Moore,Fashion,1664645,618
284,Harold Garrett,Gaming,85327,1195
285,William Mason,Lifestyle,1464768,588
286,Lori Johns,Lifestyle,945785,2540
287,Robin Johnson,Beauty,1904720,344
288,Diana Hernandez,Beauty,541711,903
289,Mary Miller,Gaming,1155925,2998
290,Tyler Salazar,Tech,238175,1200
291,Crystal Allen,Food,636559,519
292,Wesley Browning,Beauty,505043,1739
293,Joshua Clark,Lifestyle,136716,474
294,Joshua Mcbride,Lifestyle,1256452,2215
295,Ellen Thornton,Beauty,1330305,2130
296,Brandy Forbes,Food,1511896,608
297,Brianna Fitzpatrick,Travel,905179,26
298,Emily Grant,Fashion,509499,2357
299,Bailey Stewart,Tech,397825,2741
300,Monica Cannon,Fitness,1102826,1497
301,Jennifer Jenkins,Fitness,1108226,2248
302,Timothy Shannon,Beauty,823840,1945
303,Denise Maxwell,Beauty,1338098,1604
304,Cody Farmer,Fashion,536943,86
305,Debra Bradley,Fashion,1658646,296
306,David Mcdaniel,Fashion,510677,2711
307,Michael Woods,Fitness,1622955,2403
308,Lisa Joseph,Fashion,284780,201
309,Samuel Henry,Fashion,1150073,1406
310,Corey Johnson,Gaming,1746440,2824
311,Alexis Nelson,Lifestyle,1463336,1980
312,Patrick Mcneil,Gaming,1706833,572
313,Andrea Ho,Fitness,1506655,1894
314,Dr. Katherine Nguyen,Beauty,620393,845
315,David Sullivan,Beauty,1664076,837
316,Nicolas James,Beauty,666852,1290
317,Logan Newton,Tech,1715030,2244
318,Kelly Liu,Lifestyle,536237,169
319,Kelly Hayes,Food,605018,1482
320,Amanda Forbes,Beauty,1820710,2705
321,Jennifer Moss,Fashion,577976,529
322,Kelli Mccoy,Fashion,921353,1658
323,Eddie Sanders,Lifestyle,1881190,1603
324,Ronald Murray,Fashion,396784,2052
325,Louis Brown,Lifestyle,775382,2146
326,Brenda Gallegos,Travel,1685129,358
327,Nathan Wilson,Tech,170521,1783
328,Teresa Horton,Gaming,1148942,1223
329,Jason Hayes,Fashion,220163,347
330,Kevin Marquez,Fashion,1391048,1230
331,Jesse Wright,Travel,940153,2488
332,Susan Hogan,Tech,354479,2845
333,Becky Wilson,Lifestyle,742247,1851
334,Jack Mills,Beauty,1529240,1464
335,Richard Hunt,Tech,580784,2639
336,Jamie James,Beauty,162372,2769
337,Susan Cunningham,Tech,766918,2121
338,Brittany Melton,Gaming,70306,604
339,Michael Barnes,Lifestyle,77978,537
340,Randy Griffin,Fitness,499918,2662
341,Autumn Anderson,Fashion,764484,1588
342,Marcus King,Beauty,1273975,648
343,Scott Stephens,Lifestyle,1994827,1539
344,Stephen Young,Fashion,936008,334
345,Karen Ortiz,Gaming,1115357,1523
346,Kyle Sanchez,Tech,664314,2680
347,Lisa Grant,Travel,528473,484
348,Amber Hernandez,Beauty,1547822,782
349,Amanda Nash,Lifestyle,1090790,1605
350,Sara Evans,Fitness,553985,1086
351,Amber Butler,Lifestyle,454986,2526
352,Michael Carr,Travel,1460382,2031
353,Linda Cobb,Food,262189,575
354,Jesse Riley,Fitness,953002,727
355,Anna Evans,Lifestyle,189110,2813
356,James Jones,Fashion,1405561,1443
357,Joshua Carter,Fitness,1158427,2240
358,Michael Hill,Travel,1874258,1248
359,Kelly Dominguez,Gaming,1497771,2926
360,Ashley Blair,Gaming,1669501,1500
361,Victoria Webb,Food,259515,843
362,Taylor Andersen,Gaming,501471,2043
363,Lee Stewart,Beauty,761854,2289
364,Whitney Gomez,Fashion,985221,2279
365,Justin Stone,Gaming,1288348,373
366,Katherine White,Fitness,653629,1650
367,Michelle Krause,Lifestyle,1107463,1702
368,Alexander Garrett,Tech,1731667,2374
369,Ryan Marsh,Fitness,267829,1318
370,Mrs. Felicia Castro DDS,Fitness,948664,1928
371,Curtis Campbell,Fashion,274137,2278
372,Elizabeth Hunter,Gaming,1615154,548
373,Aaron Jennings,Tech,1059581,246
374,Nathaniel Gilbert,Fitness,1091538,646
375,Christopher Rivera,Travel,350310,683
376,Michael Hendricks,Fashion,1965287,2925
377,Maria Olson,Food,730662,2145
378,Stephanie Herrera,Travel,1779051,343
379,Richard Gutierrez,Travel,416674,2621
380,Sandy Evans,Travel,267501,2580
381,Emily Herrera,Travel,1293549,2205
382,Michael Marsh,Fitness,1058972,2645
383,Heather Montes,Gaming,1246112,2398
384,Andre Terrell,Gaming,364033,2718
385,Sarah Duncan,Fashion,1771913,2328
386,Kurt Hancock,Beauty,1735645,136
387,Michele Edwards,Fitness,100340,2647
388,Jason Crawford,Travel,1370518,883
389,Jesse Sampson,Tech,1301267,2637
390,Eric Rodriguez,Beauty,1049461,2588
391,Paula Gentry,Travel,1351177,1257
392,Alexander Webb,Lifestyle,518546,2825
393,Cheryl Mclean,Tech,628764,1877
394,Kelly Rowe,Fitness,1449127,265
395,Shane Short,Gaming,926919,1722
396,Megan Anderson,Lifestyle,979005,855
397,Julia Reeves,Fashion,1277258,608
398,April Randolph,Fashion,1811665,2962
399,Linda Miller,Fashion,1544728,1434
400,Angel Meyer,Tech,279236,1537
401,Emily Lane,Fitness,674234,1010
402,Steven Flores,Lifestyle,261947,1115
403,Donald Flores,Lifestyle,524923,597
404,Bruce Hernandez,Fitness,111126,1208
405,Adrian Dean,Tech,1817282,2540
406,Christine Bell,Tech,525660,674
407,Charles Bush,Fashion,1963218,2386
408,David Jones,Fashion,403110,672
409,Gina Wallace,Lifestyle,1084456,1932
410,John Lowe,Lifestyle,1848555,1283
411,Anthony Simmons,Lifestyle,53604,388
412,Kyle Watkins,Tech,1064993,1892
413,Melissa Jensen,Food,456190,2409
414,Robert Marquez,Fashion,107043,227
415,Kim Beltran,Travel,1042868,2467
416,Julie Anderson,Lifestyle,604257,2218
417,Tamara Mcdonald,Beauty,1781649,460
418,Michael Mckinney,Tech,285881,1103
419,David Walker,Fashion,1606923,1671
420,Lisa Durham,Fashion,99880,1660
421,Michael Ortega,Beauty,1200967,2321
422,Sonya Chavez,Food,765267,2286
423,John Bell,Travel,159207,1602
424,Christopher Tate,Lifestyle,1608071,2272
425,Bethany Garcia,Travel,1735803,2572
426,Rebecca Nguyen,Fitness,274826,416
427,Rebecca Patel,Tech,787653,1408
428,Jason Oliver,Fashion,1588276,610
429,Valerie Reyes,Food,1268456,2105
430,Robert Garza,Tech,1053739,184
431,Jessica Cobb,Beauty,86608,581
432,Cynthia Bates,Fashion,1691038,1960
433,Timothy Andrews,Lifestyle,317351,2503
434,Mr. Joel Peters,Gaming,692794,2531
435,Casey Blanchard,Fashion,345791,1629
436,Brian Cervantes,Travel,1250130,1397
437,Jamie Snyder,Lifestyle,1491335,2325
438,Ann Montoya,Travel,1000921,88
439,Stephanie Fields,Fashion,699659,2779
440,Charles Hernandez,Fitness,878548,2410
441,Jean Lane,Travel,1675915,2990
442,Michael Stewart,Beauty,1256810,1963
443,Susan Torres,Travel,1379873,2389
444,Jessica Haas,Food,1517885,230
445,Brandon Smith,Lifestyle,362589,2167
446,Mrs. Bethany Phillips,Tech,314908,2808
447,Joshua Brown,Food,71208,2365
448,Samantha Howard,Fitness,405103,97
449,Sharon Young,Lifestyle,662860,1735
450,Jennifer Flores,Gaming,871040,2848
451,James Gardner,Food,865623,2075
452,Karen Lopez,Lifestyle,1835431,2999
453,Tim Larsen,Beauty,1485117,585
454,Zachary Santiago,Food,1181264,1351
455,Benjamin Smith,Lifestyle,1107005,1563
456,Katelyn Kim,Fashion,368189,1902
457,Angela May MD,Fashion,1150617,1471
458,Richard Munoz,Travel,1284423,2003
459,Christopher Hicks,Food,521988,1162
460,Joanna Kelly,Travel,476580,1239
461,Larry Lane,Travel,1483284,869
462,Cynthia Shaw,Lifestyle,669882,1985
463,Joshua Richardson,Fashion,1180427,2975
464,Laura Bush,Travel,608538,519
465,John Vaughn,Tech,1883545,1636
466,Nicholas Terrell,Fashion,1626233,619
467,Dr. Julie Miller,Travel,93219,1198
468,Ann Kennedy,Fitness,731376,1831
469,Toni Miller,Travel,1572282,1982
470,Rebecca Edwards,Food,428767,2226
471,Greg Osborne,Travel,1961693,2322
472,Jose Harrison,Travel,292882,467
473,Jennifer Yu,Food,513471,227
474,Donna Johnson,Food,1342866,973
475,Nicole Acosta,Beauty,215130,1712
476,Amy Kennedy,Fashion,1509408,1954
477,Anthony Mooney,Fitness,1433563,583
478,Lori Mitchell,Beauty,1159172,666
479,Jonathan York,Tech,1374215,1968
480,Casey Campbell,Lifestyle,1369278,836
481,Alexis Rodriguez,Travel,678537,1189
482,Kevin Hernandez,Beauty,1909081,386
483,Robert Green,Food,1127295,2981
484,Kari Lloyd,Beauty,1920181,737
485,Grace Miller,Tech,1855201,740
486,Timothy Moore,Beauty,1758645,1646
487,Wyatt Townsend II,Lifestyle,395723,1205
488,Mark Clark,Beauty,24434,1242
489,Haley May,Fitness,1952110,1392
490,Audrey Jackson,Travel,957839,2646
491,Eric Reese,Lifestyle,1869913,569
492,Kim James,Lifestyle,577180,809
493,Karen Thomas,Fitness,698494,685
494,Alexandra Ho,Lifestyle,1364552,1073
495,Michael Nixon,Gaming,34536,1400
496,Amanda Hardin,Travel,1195723,2782
497,Tina Reynolds,Food,373039,2522
498,Shannon Rogers,Tech,1739323,1771
499,Brett Pena,Fashion,186902,1661
500,Raymond Curry,Fitness,392514,595
