collaboration_id,platform_id,metric_date,impressions,unique_reach,clicks,likes,shares,comments,leads,conversions,revenue_generated,is_verified,lead_quality_score
5,6,2024-09-26,302013,251198,27860,31853,10436,2714,1444,,,True,33
5,6,2024-09-24,432818,289888,53262,47572,19738,11468,8790,,,False,54
5,6,2024-09-25,48264,30713,6435,4667,1704,1044,800,,,True,49
5,6,2024-09-29,446062,268769,20018,80734,16472,6368,5559,,,True,51
5,6,2024-09-27,50587,33795,7203,2809,2208,452,1491,,,True,30
6,1,2024-09-27,399934,286291,59727,9814,2461,9290,7854,,,True,24
6,1,2024-10-06,109222,76654,8159,2611,3826,2483,1185,,,True,28
6,1,2024-10-04,208471,117021,9398,30171,1602,4260,1560,,,True,48
7,5,2024-09-28,89937,72088,8542,3927,637,2023,786,,,True,44
7,5,2024-10-05,80976,55241,2827,11801,3623,1330,453,,,True,72
7,5,2024-09-25,425965,301098,43770,57678,2571,8953,7046,,,False,81
7,5,2024-10-06,405465,268911,15506,23291,18460,2756,837,,,True,51
7,5,2024-10-04,177246,141115,18645,3899,8504,673,4826,,,True,49
7,5,2024-10-07,23575,15906,591,1701,672,153,60,,,True,68
7,5,2024-09-23,224832,131805,8977,17480,2137,2846,1158,,,True,61
8,3,2024-09-23,35800,29199,2418,5578,912,1064,551,,,True,90
8,3,2024-09-29,50173,36624,7395,7139,1716,1464,1652,,,True,81
8,3,2024-10-02,399858,325960,21798,68693,9846,4285,4406,,,True,89
8,3,2024-09-22,268424,199218,11418,32645,13268,2079,2330,,,True,68
8,6,2024-09-28,156011,95260,9767,20591,1975,3437,2902,,,True,77
8,6,2024-09-23,172828,102016,9411,27570,508,4141,1446,,,True,76
8,6,2024-09-22,120567,96945,6797,6755,3306,3290,1469,,,True,59
8,6,2024-09-25,365550,279956,34774,30151,6126,5054,1791,,,True,67
8,6,2024-09-26,101407,57359,15097,19092,725,612,2826,,,True,76
8,6,2024-10-09,41480,28118,3127,1708,442,551,629,,,True,52
9,6,2023-02-22,209294,138827,15885,18901,6458,2840,,,,True,
9,6,2023-02-08,416553,289337,48599,37991,2115,11366,,,,True,
9,6,2023-02-10,282146,168113,31524,16614,6692,3993,,,,True,
9,6,2023-02-17,318231,220932,18028,46405,3370,8772,,,,False,
9,6,2023-02-04,452255,316673,50448,46752,20966,12784,,,,True,
9,6,2023-02-13,196135,130471,10413,38762,880,5229,,,,True,
9,3,2023-02-14,102331,79704,14735,16019,3870,1136,,,,True,
9,3,2023-02-20,333412,252241,35843,44567,15470,7446,,,,True,
9,3,2023-02-07,18591,15364,1126,2681,44,377,,,,True,
10,5,2023-02-16,6968,4076,159,1011,138,149,,,,True,
10,5,2023-02-23,42625,30074,1553,3851,1775,355,,,,True,
10,5,2023-02-06,280051,209350,17808,19187,5928,7397,,,,True,
10,5,2023-02-10,47095,27446,4246,7607,1926,414,,,,True,
10,5,2023-02-09,392819,262949,20872,77595,16106,410,,,,True,
10,5,2023-02-20,365570,246888,24989,23683,8085,2235,,,,True,
10,5,2023-02-07,70928,43223,2516,13491,1637,1746,,,,True,
11,2,2023-02-25,136475,115305,18018,12793,6241,568,,,,True,
11,2,2023-02-07,42343,27012,2662,2650,752,761,,,,True,
11,2,2023-02-08,353243,274879,4002,21390,16886,7168,,,,True,
11,1,2023-02-05,415624,229498,39242,82090,15921,11650,,,,True,
11,1,2023-02-08,177200,129588,10121,24728,3156,1797,,,,True,
11,1,2023-02-18,189878,142318,11958,3963,3502,2008,,,,True,
12,5,2023-02-24,456109,323467,65291,69681,6010,6433,,,,True,
12,5,2023-02-14,456553,316190,30971,20867,22518,13134,,,,True,
12,5,2023-02-06,9219,6823,1219,1790,341,190,,,,True,
12,5,2023-02-02,254536,170551,24375,6480,5591,7130,,,,True,
12,5,2023-02-21,345659,278991,47261,51680,5322,2301,,,,True,
12,5,2023-02-05,273158,222041,32746,39926,698,4217,,,,True,
13,3,2023-02-16,128088,78580,14788,17336,689,1743,,,,True,
13,3,2023-02-07,84509,70032,4708,7002,1245,1847,,,,True,
13,3,2023-02-25,499362,409103,13599,17874,13578,11004,,,,True,
13,3,2023-02-05,363194,236018,15011,43377,16804,1044,,,,True,
13,3,2023-02-17,477689,365543,53998,39415,15507,8261,,,,True,
13,3,2023-02-19,424359,263106,19636,27704,2740,4611,,,,True,
13,3,2023-02-09,99148,76679,2603,7918,4244,2842,,,,True,
13,4,2023-02-11,281310,170743,18099,25459,10912,6787,,,,True,
13,4,2023-02-03,66721,47100,6286,3483,1359,1108,,,,True,
13,4,2023-02-20,76364,60697,3936,3939,2620,402,,,,True,
14,3,2025-05-21,263890,223541,7200,52619,9399,3924,,,,True,
14,3,2025-05-03,260035,165758,37785,5506,10583,1411,,,,True,
14,3,2025-05-02,445132,342661,54955,63688,1591,11616,,,,True,
14,2,2025-05-08,177400,120052,13531,13514,3579,546,,,,True,
14,2,2025-05-02,148540,112728,5542,25651,3014,712,,,,True,
14,2,2025-04-23,304788,246804,5357,57168,4846,6091,,,,True,
14,2,2025-04-14,232174,176170,11783,8710,2713,5271,,,,True,
14,2,2025-05-18,5288,3483,686,155,208,136,,,,True,
14,2,2025-05-23,224429,169182,7529,4646,4134,3308,,,,True,
15,2,2025-05-15,227947,191684,22287,19776,607,1820,,,,True,
15,2,2025-05-04,361201,263260,12334,54753,14092,10743,,,,True,
15,2,2025-05-20,47482,37193,6224,6341,687,946,,,,True,
16,5,2025-04-20,336783,252802,27402,4841,9792,5929,,,,True,
16,5,2025-04-18,391282,226304,36390,32457,19563,8365,,,,True,
16,5,2025-05-14,66159,38361,1249,12086,2644,420,,,,True,
17,2,2025-05-08,411266,326404,32242,44659,12194,8923,,,,True,
17,2,2025-05-18,65558,50876,2559,8858,442,1704,,,,True,
17,2,2025-05-17,3291,2357,401,109,24,22,,,,True,
18,4,2024-05-12,285936,171985,41973,38615,3765,668,,,,True,
18,4,2024-04-14,474781,372627,48561,44883,13899,10045,,,,True,
18,4,2024-04-20,185110,135473,15083,26046,6195,425,,,,False,
18,4,2024-04-25,74774,47848,9463,14349,2280,543,,,,True,
18,4,2024-06-13,67866,52170,4688,7768,934,1346,,,,True,
18,4,2024-05-18,239610,137770,10922,21760,8393,3963,,,,True,
18,4,2024-05-26,384632,242633,37938,51024,13849,6671,,,,True,
19,1,2024-04-30,316964,197864,15156,35176,10940,4056,,,,True,
19,1,2024-06-02,47148,31063,2672,2919,2054,355,,,,False,
19,1,2024-04-29,198238,167282,8149,37831,7801,908,,,,True,
19,1,2024-05-20,459520,294995,57434,47343,12369,9793,,,,True,
19,1,2024-06-04,289666,182870,6914,5536,4803,6605,,,,True,
19,1,2024-05-28,423120,326813,61572,46974,12751,10848,,,,True,
19,1,2024-04-13,67384,42298,7151,9805,2238,346,,,,True,
19,6,2024-04-16,96499,65782,5747,9557,1452,2762,,,,True,
19,6,2024-05-27,377183,307183,46756,25643,16233,10740,,,,True,
19,6,2024-05-11,164464,132158,16258,4041,2098,611,,,,True,
19,6,2024-06-02,44846,34666,3927,4647,1966,1296,,,,True,
19,6,2024-06-07,267196,221701,7775,27944,9237,5511,,,,True,
20,1,2024-05-31,478066,382175,5268,43382,12994,5261,,,,True,
20,1,2024-04-11,347145,289956,43487,61535,9330,6480,,,,True,
20,1,2024-05-04,88859,66853,11860,9727,1068,282,,,,True,
21,3,2024-10-10,59866,38995,6290,10059,2555,1549,770,,,True,62
21,3,2024-09-01,112207,61789,11037,9513,5187,3135,3198,,,True,47
21,3,2024-10-19,19075,15844,2574,3265,72,22,424,,,True,44
21,3,2024-10-28,3202,2097,355,276,4,43,35,,,True,36
21,3,2024-10-13,81088,54589,11176,917,3138,669,1873,,,True,22
21,3,2024-09-16,225074,184033,19153,13774,11136,4508,3061,,,True,30
21,3,2024-10-12,228020,125808,30486,33006,1464,2111,2543,,,True,45
21,6,2024-09-15,349278,295097,9301,35948,8830,7254,761,,,True,41
21,6,2024-09-20,484712,374472,60874,16950,23230,11627,4963,,,True,32
21,6,2024-10-26,402830,304270,6963,67542,8883,7378,362,,,True,56
22,2,2024-09-05,131292,83283,3427,7886,4640,2668,539,,,True,38
22,2,2024-10-19,425148,246976,47728,53615,4355,10965,9890,,,True,36
22,2,2024-09-26,69861,46833,3377,3249,570,105,337,,,True,12
22,2,2024-09-14,275736,177004,27205,14881,4817,4107,4827,,,True,37
22,2,2024-10-30,58200,36711,2867,4463,1250,598,177,,,False,22
22,2,2024-09-18,346755,268189,13758,34568,15782,1360,1323,,,True,44
22,4,2024-09-09,174150,114620,21490,26324,5199,3228,2354,,,True,47
22,4,2024-09-07,201852,116300,5024,26163,6154,442,1467,,,True,52
22,4,2024-08-27,101649,77395,14187,2462,2824,1112,3281,,,True,18
22,4,2024-11-04,81068,45652,2986,9289,1084,2143,786,,,True,47
22,4,2024-09-11,469692,309904,46114,15176,10507,7046,8343,,,True,29
23,2,2024-09-30,297338,168958,43454,13718,12164,4565,7957,,,True,36
23,2,2024-09-11,87279,59465,7095,10200,1756,1624,721,,,True,31
23,2,2024-10-02,114693,83454,1289,21383,2996,1790,296,,,True,53
23,2,2024-08-31,116019,74125,5521,3785,1389,1911,678,,,True,32
23,3,2024-09-12,280781,164216,28305,36560,13656,2923,8112,,,True,54
23,3,2024-09-29,70550,47445,6745,5057,268,1739,1726,,,True,27
23,3,2024-09-01,147138,88727,21485,16494,7203,3467,5266,,,True,39
23,3,2024-09-26,361270,240097,36681,63332,11589,6132,9324,,,True,51
23,3,2024-09-21,107412,77819,13220,16439,926,829,3061,,,True,44
24,6,2024-09-06,99516,71740,14138,4406,1474,994,3835,,,True,25
24,6,2024-10-28,98986,56504,1988,5602,4508,2884,149,,,True,42
24,6,2024-09-18,393948,312163,37212,32223,793,9837,8962,,,True,41
24,6,2024-10-23,69799,43589,1514,2589,2215,97,441,,,True,17
24,6,2024-11-07,429501,279827,46834,20805,10540,7440,7544,,,True,23
24,6,2024-09-17,251585,150033,4483,35596,7987,1149,1148,,,True,38
25,2,2024-10-30,1134,934,15,103,9,22,1,,,True,65
25,2,2024-10-18,375287,299041,9658,15843,2400,1482,2790,,,True,51
25,2,2024-09-13,175467,102736,24436,32422,7875,3251,2309,,,True,95
26,6,2022-03-30,360770,231062,44900,27488,2197,9946,,,,True,
26,6,2022-03-21,489598,308260,67064,79192,19414,12724,,,,True,
26,6,2022-03-31,408282,304887,22388,34383,14839,9709,,,,True,
26,6,2022-03-27,35791,20900,2499,5299,289,371,,,,True,
27,6,2024-07-22,315986,249012,17911,51318,10441,2569,,,,True,
27,6,2024-07-21,261124,185822,20619,29214,3205,894,,,,True,
27,6,2024-07-26,276771,200205,29639,42117,9811,2164,,,,False,
27,6,2024-07-24,446456,247848,39365,85695,20592,1217,,,,True,
27,6,2024-08-01,445490,358529,53018,16249,10495,11236,,,,True,
27,6,2024-07-31,488791,402708,21482,81767,1826,2442,,,,True,
28,3,2024-07-23,223169,147627,24146,30333,1029,5642,,,,True,
28,3,2024-08-03,16326,9698,486,923,26,409,,,,True,
28,3,2024-07-11,401799,242978,45844,61129,14155,3891,,,,True,
28,3,2024-08-02,177361,121171,17785,2218,1144,485,,,,True,
29,2,2024-07-16,291037,222184,13424,34543,4655,2209,,,,True,
29,2,2024-07-27,143015,120409,11871,28003,1019,1021,,,,True,
29,2,2024-08-03,115270,76964,14426,22528,3532,373,,,,True,
29,2,2024-07-11,250803,161506,25046,41928,2276,6093,,,,True,
29,2,2024-07-23,102594,64734,2525,8096,4017,1100,,,,True,
29,2,2024-07-24,85833,61153,1643,10596,3267,855,,,,True,
29,2,2024-07-25,335199,277799,14630,8767,9699,771,,,,True,
30,1,2022-03-21,187486,145396,27039,19693,3076,2311,,,,True,
30,1,2022-03-22,68404,52041,1616,5977,2553,268,,,,True,
30,1,2022-04-25,79241,44145,9623,7973,3452,165,,,,True,
30,1,2022-03-27,358260,246816,47981,9932,12970,9546,,,,True,
30,1,2022-04-24,343499,203440,37990,68270,8786,10228,,,,True,
30,1,2022-03-17,274853,227871,15885,43761,4840,3146,,,,True,
31,6,2024-10-27,320518,234639,46193,37728,15938,1225,,524,203224.13,True,
31,6,2024-12-09,455337,382794,54368,12094,2555,4597,,5114,498649.74,True,
31,6,2024-12-07,190988,125290,3811,27697,4502,5652,,373,144093.73,True,
31,6,2024-11-18,485026,287200,13268,57261,1425,12567,,611,263561.24,True,
31,6,2024-11-09,68124,46477,5568,8766,1115,233,,262,61843.60,True,
31,6,2024-11-07,358355,201683,52621,7468,14240,7630,,3182,299712.17,True,
31,1,2024-11-04,458811,315975,10594,45200,14902,12435,,549,33595.96,True,
31,1,2024-11-30,481513,403442,31573,44439,9955,1381,,1288,399405.35,True,
31,1,2024-11-19,389146,269625,19057,6721,3358,5692,,1288,223712.18,False,
31,1,2024-10-29,315637,246910,5913,51644,12527,9272,,172,20900.85,False,
31,1,2024-11-08,398233,300706,19027,52081,2029,1198,,883,144107.07,True,
31,1,2024-11-18,457306,309100,18280,82170,4582,1170,,1655,373527.64,True,
32,1,2024-11-04,249798,177519,29910,48326,5596,6860,,1834,761197.18,True,
32,1,2024-11-06,469097,342036,9800,64225,14640,4873,,967,455171.88,True,
32,1,2024-11-16,386753,297775,4635,69745,18083,5988,,178,71229.92,True,
32,1,2024-11-20,138284,97657,1454,13220,5779,642,,73,35429.79,True,
32,1,2024-11-24,115121,89070,4175,16384,4483,2121,,122,14723.73,True,
33,4,2024-10-25,429918,348374,46390,57305,10035,5546,,1934,542262.98,True,
33,4,2024-11-17,401622,261354,56102,39028,7744,6839,,1382,316782.81,True,
33,4,2024-12-13,346323,262015,24675,22101,10874,9637,,2149,1069717.07,True,
33,4,2024-10-26,54927,31686,675,10280,333,1249,,44,12384.78,True,
33,4,2024-11-13,264406,191527,3852,17208,5714,1973,,196,39771.99,True,
33,4,2024-12-10,246692,206028,14576,39671,5854,6742,,991,393055.26,True,
33,4,2024-11-26,493129,326645,20391,31503,21747,4275,,1742,699702.77,True,
33,1,2024-10-25,80912,63690,10333,8787,3019,825,,261,76903.64,True,
33,1,2024-11-20,291867,245765,10791,38655,12141,7074,,669,54762.88,True,
33,1,2024-10-27,382240,230152,52207,41389,8574,1486,,4286,1123117.94,True,
33,1,2024-10-26,411689,274845,48045,75819,17303,2310,,1874,121364.22,False,
34,1,2024-12-04,80741,45081,8805,14930,392,976,,676,55880.22,True,
34,1,2024-12-13,331588,259725,11976,44425,3934,2195,,1025,377845.81,True,
34,1,2024-12-01,198736,155236,20329,12369,9303,3814,,1371,408681.66,True,
35,6,2024-12-02,469530,283684,9781,80044,21468,3301,,186,74737.01,True,
35,6,2024-11-01,255575,214111,5286,35932,4954,2579,,484,197522.12,True,
35,6,2024-10-31,5816,4775,595,755,249,25,,24,4474.95,True,
35,6,2024-11-03,315069,224941,10137,47550,14620,2077,,128,3975.47,True,
35,6,2024-11-12,80373,49420,4909,14525,196,403,,85,29917.35,True,
35,6,2024-11-10,143980,99990,20654,10974,4034,1372,,1591,410453.85,True,
36,4,2022-07-11,54446,39478,6386,3767,2172,1560,,,,True,
36,4,2022-07-19,463371,316875,43318,28552,7700,1908,,,,True,
36,4,2022-07-09,105211,75766,6560,13699,436,615,,,,False,
36,4,2022-07-12,268598,168120,18096,33504,11814,7671,,,,True,
36,4,2022-07-22,209327,117010,7365,14926,8321,2381,,,,True,
36,4,2022-08-06,344933,228172,10453,24057,507,7229,,,,True,
37,3,2022-08-15,202660,128706,8046,10400,5773,4412,,,,True,
37,3,2022-07-28,423824,342438,8677,76121,9182,9718,,,,True,
37,3,2022-07-16,168335,102590,2853,17481,554,1507,,,,True,
37,3,2022-06-25,237889,143052,13265,19683,6956,2204,,,,True,
38,1,2022-06-17,280190,231271,4336,37127,1233,1053,,,,True,
38,1,2022-08-15,379693,243117,20657,28745,1863,8909,,,,True,
38,1,2022-07-23,25179,16819,2706,2426,1072,731,,,,True,
38,1,2022-07-03,196534,163380,4792,10330,8145,987,,,,True,
38,1,2022-08-07,452115,341925,32098,19140,4686,12282,,,,True,
38,1,2022-06-21,473869,337047,5066,66704,1692,12612,,,,False,
38,1,2022-08-13,25667,21409,526,1862,796,630,,,,True,
39,6,2022-07-04,167922,135776,19382,30004,8114,2180,,,,True,
39,6,2022-08-14,64658,45682,2823,6517,1617,590,,,,True,
39,6,2022-07-02,253577,156646,11901,16808,1282,4360,,,,True,
39,6,2022-07-03,346257,257663,44951,49183,1621,5312,,,,True,
39,1,2022-08-15,55306,36066,6855,8556,1448,557,,,,True,
39,1,2022-08-05,371964,255244,11739,39375,17033,2731,,,,True,
39,1,2022-07-11,237704,192625,19464,37605,2426,2152,,,,True,
39,1,2022-08-18,161533,134952,14669,4747,3810,663,,,,True,
40,1,2024-11-10,15487,10730,1305,1190,105,262,,,,True,
40,1,2024-10-23,111683,66472,8968,11894,402,994,,,,True,
40,1,2024-10-29,340564,226392,47652,15954,3502,2085,,,,True,
41,5,2022-04-04,115623,67588,15644,13793,1468,1899,,,,True,
41,5,2022-04-07,463236,340972,51055,39126,2762,10322,,,,True,
41,5,2022-03-27,141149,98599,4791,6871,4546,3030,,,,True,
41,5,2022-02-13,2128,1230,171,304,51,20,,,,True,
41,5,2022-02-06,125605,75497,13239,5233,2169,1783,,,,True,
41,5,2022-03-03,349692,242119,19851,15291,4870,1130,,,,True,
41,5,2022-02-14,447764,247577,26552,44788,469,11786,,,,True,
42,2,2022-02-02,438468,271186,35270,67282,17094,1709,,,,True,
42,2,2022-04-13,176491,121034,19921,34955,2401,2666,,,,True,
42,2,2022-03-09,7609,6074,396,558,200,154,,,,True,
43,1,2022-05-16,449429,276882,67042,34995,1130,7977,,,,True,
43,1,2022-03-30,226321,148879,25848,10598,10814,4418,,,,True,
43,1,2022-04-19,460376,339788,39725,84411,22733,12157,,,,True,
43,1,2022-05-21,477773,360107,64174,40273,10246,14249,,,,True,
43,1,2022-03-18,22048,15959,2386,3714,154,530,,,,True,
43,1,2022-04-03,416011,327692,20957,80789,10586,8686,,,,True,
43,1,2022-05-07,79262,56034,4008,9198,710,1198,,,,True,
43,6,2022-03-17,433284,315396,7559,29509,9569,8729,,,,False,
43,6,2022-05-13,132323,78244,17601,21065,3387,3810,,,,True,
43,6,2022-03-21,45590,34828,1366,6805,1010,1259,,,,True,
43,6,2022-04-12,17348,12004,1034,2848,558,229,,,,True,
43,6,2022-04-21,51952,42492,7212,6412,493,708,,,,True,
44,6,2022-04-02,160405,92341,14329,20753,4450,1909,,,,True,
44,6,2022-04-10,229557,132870,19218,32570,5896,4790,,,,True,
44,6,2022-04-17,186199,126298,12823,16376,438,3204,,,,True,
44,6,2022-05-25,221182,127517,6565,40321,8746,3943,,,,True,
44,6,2022-05-08,326025,232449,29075,21431,12392,4038,,,,True,
44,6,2022-05-24,3621,2494,423,392,152,12,,,,True,
44,6,2022-04-23,341224,198631,31804,56700,9795,7174,,,,True,
45,5,2022-05-20,271171,160870,30821,28231,3241,5584,,,,True,
45,5,2022-03-22,158254,116866,17515,29742,6405,3020,,,,True,
45,5,2022-04-11,35701,19635,3374,1178,205,247,,,,True,
45,3,2022-05-11,96992,77213,12399,11045,4002,2013,,,,True,
45,3,2022-05-05,324068,190214,9875,4574,2573,7321,,,,True,
45,3,2022-03-23,268681,207555,23250,26994,4087,5469,,,,True,
45,3,2022-03-31,258955,170962,12565,21572,10408,3743,,,,True,
45,3,2022-04-23,78181,43655,5784,9162,120,764,,,,True,
45,3,2022-05-06,468805,350271,33860,85575,8617,2362,,,,True,
45,3,2022-05-16,240807,152447,35505,18776,10339,3754,,,,True,
46,2,2022-05-04,241400,184563,29001,15180,9261,2362,,,,True,
46,2,2022-05-20,480831,385529,37372,92745,14754,2995,,,,True,
46,2,2022-03-24,266303,208413,22252,9211,4495,7643,,,,True,
46,2,2022-04-07,324234,259051,6309,5061,11967,2502,,,,True,
46,2,2022-04-04,262347,217818,20121,40501,12877,6413,,,,True,
46,2,2022-04-30,124555,72444,16603,18477,2468,3640,,,,True,
46,2,2022-04-28,32967,24183,858,5633,150,762,,,,True,
46,5,2022-04-07,366833,251226,10509,48093,10369,2448,,,,True,
46,5,2022-04-26,356412,226616,13603,14540,14569,8714,,,,True,
46,5,2022-03-29,305692,170353,44134,8644,803,1551,,,,False,
47,5,2025-01-12,358253,275494,49273,47298,9068,9006,,,,True,
47,5,2025-01-10,248872,174273,14909,45034,10656,6034,,,,True,
47,5,2025-01-31,328426,217692,6542,8160,12919,3168,,,,True,
47,5,2024-12-11,121386,68636,10399,1733,5006,1141,,,,True,
47,5,2024-12-28,205195,156149,4004,36028,9939,650,,,,True,
47,5,2024-12-18,447820,315859,42800,31045,14022,7537,,,,True,
48,1,2025-01-06,137276,83759,18439,2921,1511,3388,,,,True,
48,1,2024-12-23,397566,297777,52859,21773,1817,11327,,,,True,
48,1,2025-01-17,369122,295482,45419,27946,1649,4824,,,,True,
48,1,2024-12-08,487754,280057,42531,92602,6952,1078,,,,False,
48,1,2024-12-09,266630,164663,15740,26860,10477,7043,,,,True,
48,1,2024-12-28,488741,276924,57820,80231,13281,12682,,,,True,
48,1,2025-01-02,387384,215164,30023,32367,7547,1794,,,,True,
49,5,2024-12-15,102026,66616,14133,5637,561,131,,,,True,
49,5,2024-12-14,395062,322568,47820,46589,19577,565,,,,True,
49,5,2025-01-04,426547,241879,7648,39807,6333,4312,,,,True,
49,5,2025-02-02,467338,291279,23805,58493,11429,2125,,,,True,
49,5,2025-01-15,131676,109490,5111,18961,5379,3559,,,,True,
49,5,2024-12-30,233043,178030,33045,36876,3575,4650,,,,True,
49,5,2024-12-29,140765,90886,12077,4199,2531,1817,,,,True,
50,6,2024-12-24,121367,77854,10609,4044,4432,2894,,,,False,
50,6,2024-12-12,123762,93997,12498,11907,816,1914,,,,False,
50,6,2024-12-20,146234,106234,7612,28277,574,3770,,,,True,
50,6,2024-12-15,10382,8397,662,191,115,65,,,,True,
50,6,2025-01-29,27899,20871,401,4323,1309,764,,,,True,
50,6,2025-01-09,176775,146159,24225,28981,5295,4058,,,,True,
51,3,2025-01-03,30446,24119,2662,5814,1421,284,,,,True,
51,3,2025-01-31,280868,193532,25324,33136,7422,1604,,,,True,
51,3,2025-02-03,391426,331844,16969,71421,5775,8139,,,,True,
51,3,2025-01-26,131536,102782,6762,15587,380,1177,,,,True,
51,3,2025-01-22,131841,103459,16273,16548,934,2305,,,,True,
51,3,2025-01-23,139183,111941,10039,1848,199,288,,,,True,
51,3,2025-01-24,334861,268993,13561,7075,15739,3019,,,,True,
52,5,2022-07-07,136574,110722,3798,17722,1119,2584,,54,4046.45,False,
52,5,2022-08-24,359344,252265,25744,25259,10103,2734,,2462,1221511.81,True,
52,5,2022-07-22,8950,6743,1163,690,323,164,,48,2745.12,True,
52,5,2022-08-01,268429,153872,10352,31773,11174,5569,,170,38200.39,True,
52,5,2022-08-03,13447,8713,1618,990,282,267,,84,40931.57,True,
53,6,2022-08-15,478583,348106,11903,24015,7821,10412,,913,361606.64,True,
53,6,2022-07-04,493299,303112,62304,7988,18048,5945,,6218,358490.00,True,
53,6,2022-08-05,490980,416201,43773,97991,15655,10941,,2561,200260.82,True,
53,6,2022-07-18,418989,236908,31895,45940,9473,3689,,2718,436704.72,True,
54,2,2022-08-14,392766,330598,42037,37136,18822,5061,,721,208383.00,True,
54,2,2022-07-28,190447,142073,18041,18150,4099,3334,,1522,121965.48,True,
54,2,2022-08-26,407582,335350,42541,55643,12501,9814,,1733,132787.19,True,
54,2,2022-08-08,265279,224153,24045,34539,10308,7188,,2137,58651.85,True,
55,3,2022-09-07,437682,297372,46659,86699,3276,11440,,4324,1963290.53,True,
55,3,2022-08-28,211430,160491,9260,13900,3700,5268,,373,116451.93,True,
55,3,2022-07-11,379130,213666,43002,29360,8718,4874,,2170,912932.55,True,
55,3,2022-07-15,250640,190494,28242,36970,7491,6211,,1577,146792.00,False,
55,3,2022-07-03,311428,205842,31428,25562,7004,4905,,1977,936087.14,True,
55,5,2022-08-31,470944,333220,38218,87750,7053,5716,,2987,1426849.76,False,
55,5,2022-08-11,495979,382096,73647,24813,13112,8768,,4815,326187.06,True,
55,5,2022-07-05,62654,39870,4895,3288,582,1769,,163,50686.76,True,
55,5,2022-09-09,121964,91464,3627,6012,5134,2791,,45,20394.89,True,
55,5,2022-09-03,283526,201693,10580,29143,11708,3321,,374,177643.38,True,
56,4,2023-10-26,376021,286489,48230,35510,8340,3244,12835,,,True,33
